dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,1,7,learned,1,14,2,26,1.19,0,12,0,15,14,0.87015,0.50115,0.3861,-0.29799,0.29167,0.1491,12,1,1,0.10767,0,,,,,,,0,,,,0.45025,,,,1.9684,,0.077272,,0.52579,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,2,17,learned,2,10,2,126,1.54,0,24,0,39,24,0.36554,1.0065,0.65654,-0.53297,0.45378,0.32741,7,3.1429,1,0.21148,0,,,,,,,0,,,,0.71796,,1.9066,,0.99018,,0.063717,,0.35386,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,3,25,learned,3,11,1,694,6.68,3,39,20,80,82,0.48412,0.80391,0.69264,-0.16064,0.27429,0.076645,7,6.8571,2,0.02868,48,0.43933,0.7091,0.68577,-0.034023,0.44681,0.019041,1,24,24,0.20991,0.72224,0.77111,2.255,3.577,1.6449,1.0688,0.051981,0.12014,0.50979,0.50238,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,4,29,learned,4,18,4,469,5.26,5,58,37,111,55,0.28468,0.55167,0.59732,0.076424,0.97213,0.15938,14,1.5,1,0.24123,48,0.021013,0.82308,0.10195,-7.0731,,0.29442,0,,,,0.67194,0.74887,1.1144,,1.2238,0.73539,0.04166,0.082004,0.42964,0.20534,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,5,32,learned,5,20,1,504,4.42,6,71,37,154,76,0.30867,0.8917,0.61803,-0.4428,0.36646,0.18675,7,10.857,1,-0.0078231,0,,,,,,,0,,,,0.69993,,4.577,,2.1586,,0.043112,,0.18491,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,6,33,learned,6,12,12,2002,19.39,14,77,117,208,196,0.057332,0.81671,0.21956,-2.7197,,0.25897,0,,,,222,0.062217,0.72914,0.23302,-2.129,,0.21217,0,,,,0.80963,0.65023,,,2.5035,0.76035,0.034155,0.082477,0.12123,0.11146,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,7,35,learned,7,11,2,1139,10.73,15,90,128,262,167,0.095421,0.53385,0.3149,-0.69527,0.72516,0.12031,6,13.333,2,0.18357,72,0.057965,0.62079,0.22133,-1.8048,0.67606,0.1743,1,72,72,,0.6803,0.59013,0.81507,,1.4198,0.36146,0.054925,0.073964,0.25137,0.060775,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,8,38,learned,8,17,1,30,1.53,16,109,128,281,18,0.89478,0.61897,0.3364,-0.83997,1,0.20772,16,1.125,1,0.18023,0,,,,,,,0,,,,0.67102,,0.7518,,0.89026,,0.043561,,0.12263,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,9,48,learned,9,13,2,39,1.23,16,123,128,297,15,0.82592,0.63647,0.4623,-0.37674,0.54545,0.17239,11,1.1818,1,0.066668,0,,,,,,,0,,,,0.70286,,0.73455,,1.0263,,0.043511,,0.2615,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,10,50,learned,10,16,1,1227,12.65,17,138,138,355,180,0.32217,0.7487,0.62849,-0.19125,0.56759,0.081844,8,8.25,1,0.3773,57,0.31063,0.66707,0.6196,-0.076605,0.60714,0.032176,1,57,57,,0.70957,0.78313,1.1102,,1.1249,0.72029,0.043897,0.070669,0.22527,0.10604,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,11,59,learned,11,20,1,55,1.9,18,160,138,377,21,0.92798,0.61947,0.25884,-1.3933,1,0.19578,19,1.1053,1,0.17508,0,,,,,,,0,,,,0.69686,,0.81754,,0.91181,,0.03725,,0.26189,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,12,60,learned,12,13,1,36,1.32,18,173,138,390,12,1,0.65868,1e-06,,,0.22688,12,1,1,0.069787,0,,,,,,,0,,,,0.70966,,,,1.055,,0.043416,,0.037648,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,13,77,learned,13,7,1,48,0.96,18,182,138,403,12,0.52745,0.66285,0.69164,0.041619,0.72222,0.20982,6,2,1,0.22044,0,,,,,,,0,,,,0.74331,,1.8325,,7.4165,,0.037812,,0.20718,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,14,86,learned,14,14,1,93,1.8,18,200,138,422,18,0.84887,0.66751,0.42467,-0.57182,0.75385,0.16776,13,1.3846,1,-0.049245,0,,,,,,,0,,,,0.7219,,1.0941,,1.7411,,0.042659,,0.12458,,0,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,15,87,learned,15,8,2,55,0.86,18,209,138,436,13,0.57931,0.64283,0.68051,0.055371,0.85714,0.13673,6,1.8333,1,0.24018,0,,,,,,,0,,,,0.7918,,1.8298,,4.6746,,0.044087,,0.26696,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,16,111,learned,16,21,2,1107,12.04,20,225,155,499,166,0.19614,0.78017,0.495,-0.5761,0.26282,0.18598,10,8.4,1,0.21186,75,0.18413,0.65554,0.4776,-0.37257,0.58108,0.10009,1,75,75,,0.73423,0.79066,,,1.1341,0.35679,0.044843,0.075958,0.33093,0.15491,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,17,114,learned,17,12,3,223,2.88,21,240,155,532,37,0.39106,0.67323,0.66922,-0.0059872,0.625,0.11688,8,3.875,3,0.13256,0,,,,,,,0,,,,0.77979,,2.6859,,3.114,,0.039283,,0.2637,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,18,125,learned,18,15,1,1114,15.51,22,254,163,589,166,0.3403,0.72289,0.64123,-0.12735,0.66812,0.069622,8,8.125,1,0.039541,57,0.37298,0.68531,0.66052,-0.037537,0.53571,0.022154,1,57,57,,0.73656,0.97804,0.98468,,1.1022,0.81155,0.042037,0.087321,0.2366,0.16169,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,19,134,learned,19,13,1,26,2.15,23,269,163,604,14,0.87428,0.66317,0.37817,-0.75363,0.875,0.21979,12,1.1667,1,0.068492,0,,,,,,,0,,,,0.75761,,0.71602,,2.0474,,0.03794,,0.22148,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,20,143,learned,20,21,2,61,3.66,23,291,163,630,25,0.81313,0.60572,0.48165,-0.25758,0.97368,0.16764,19,1.2105,1,0.20064,0,,,,,,,0,,,,0.75044,,0.97963,,2.4777,,0.034801,,0.25282,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,21,144,learned,21,22,2,69,3.77,23,317,163,658,27,0.79548,0.59086,0.5066,-0.16631,0.97857,0.16515,20,1.25,1,0.093596,0,,,,,,,0,,,,0.75048,,0.88694,,2.5204,,0.031334,,0.24317,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,22,145,learned,22,8,2,20,0.89,23,324,163,667,8,0.77572,0.56282,0.53227,-0.057406,1,0.16521,6,1,1,0.18304,0,,,,,,,0,,,,0.72895,,,,1.559,,0.033523,,0.2446,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,23,157,learned,23,5,1,4,0.49,23,329,163,672,4,1,0.56188,1e-06,,,0.18485,4,1,1,0.25625,0,,,,,,,0,,,,0.72583,,,,0.63167,,0.050836,,0.13772,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,24,162,learned,24,23,1,39,3.62,23,352,163,695,22,1,0.64692,1e-06,,,0.22698,22,1,1,0.13882,0,,,,,,,0,,,,0.76446,,,,1.7541,,0.042612,,0.10579,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,25,163,learned,25,6,6,812,10.7,25,354,192,712,68,0.10034,0.7244,0.32584,-1.2232,,0.17716,0,,,,96,0.13561,0.68628,0.39692,-0.72902,,0.13207,0,,,,0.74801,1.1099,,,2.1671,0.63842,0.035344,0.092964,0.11389,0.18706,,
