dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,23,765,75.23,0,116,0,174,183,0.72315,0.6013,0.58996,-0.019227,0.66171,0.071634,86,1.6279,1,0.12147,0,,,,,,,0,,,,0.49137,,1.1026,,2.4778,,0.030507,,0.14689,,,,765,0,0,86,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,82,1113,74.92,0,179,0,321,159,0.57456,0.65552,0.68199,0.038805,0.79295,0.053488,39,2.9744,1,0.29148,0,,,,,,,0,,,,0.55924,,1.6481,,2.8957,,0.024011,,0.13324,,,,1113,0,0,39,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,69,1504,91.28,0,307,0,538,216,0.6982,0.51159,0.61238,0.16459,0.87932,0.038729,94,2.2021,1,0.29367,0,,,,,,,0,,,,0.55325,,1.637,,4.9361,,0.020153,,0.097898,,,,1504,0,0,94,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,59,301,18.22,0,311,0,571,43,0.47636,1.052,0.69203,-0.52021,,0.12092,0,,,,0,,,,,,,0,,,,0.73119,,,,2.5717,,0.031648,,0.088406,,,,301,0,0,0,0,0,,0,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,22,841,70.2,0,374,0,681,127,0.66347,0.63003,0.63871,0.013585,0.6303,0.071564,49,1.7143,1,0.20931,0,,,,,,,0,,,,0.5959,,1.1521,,3.2019,,0.029143,,0.093065,,,,841,0,0,49,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,31,908,65.93,0,442,0,802,134,0.64863,0.60934,0.64829,0.060081,0.78223,0.056855,49,1.8571,1,0.25589,0,,,,,,,0,,,,0.59556,,1.2548,,6.6477,,0.02017,,0.19686,,,,908,0,0,49,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,301,17.02,0,445,0,829,43,0.12816,1.5588,0.38288,-3.0712,,0.46489,0,,,,0,,,,,,,0,,,,0.76841,,,,2.5666,,0.022389,,0.1965,,,,301,0,0,0,0,0,,0,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,195,36.06,0,532,0,916,86,1,0.36977,1e-06,,,0.10126,86,1,1,0.088307,0,,,,,,,0,,,,0.59897,,,,2.4012,,0.017298,,0.10201,,,,195,0,0,86,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,19,621,59.62,0,622,0,1051,153,0.72454,0.49271,0.58862,0.16294,0.92017,0.037652,75,1.4667,1,0.23737,0,,,,,,,0,,,,0.61507,,1.311,,7.85,,0.02502,,0.11629,,0,,621,0,0,75,0,0,1,1,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,36,1316,97.51,0,727,0,1229,188,0.68909,0.54397,0.61982,0.12238,0.90233,0.03903,78,1.859,1,0.2476,0,,,,,,,0,,,,0.59812,,1.3672,,10.314,,0.015875,,0.11032,,,,1316,0,0,78,0,0,1,1,0
