dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,1,4,learned,41,153,8,2154,23.42,76,7624,562,2000,326,0.49789,0.66713,0.69314,0.037515,0.75225,0.17113,137,1.6642,1,0.20208,120,0.02833,0.60696,0.12889,-3.7091,,0.18709,0,,,,0.43706,1.2124,1.2316,,14.371,0.55386,0.027,0.071011,0.21667,0.25913,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,2,12,learned,42,145,1,288,10.45,77,7769,562,2000,144,1,0.22054,1e-06,-2.2054e+05,,0.055674,144,1,1,0.24099,0,,,,,,,0,,,,0.37977,,,,4.6088,,0.026516,,0.21529,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,3,38,learned,43,155,1,750,13.58,77,7916,562,2000,186,0.7556,0.64114,0.5561,-0.15292,0.50272,0.20451,138,1.3478,1,0.16777,0,,,,,,,0,,,,0.37324,,4.149,,5.8323,,0.025115,,0.18246,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,4,46,learned,44,146,1,1083,10.65,77,7980,562,2000,187,0.3125,1.2586,0.62109,-1.0265,0.31282,0.46037,57,3.2807,1,0.24588,0,,,,,,,0,,,,0.40728,,9.9616,,5.2628,,0.028341,,0.2286,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,5,51,learned,45,227,6,2042,30.81,81,8228,606,2000,329,0.75637,0.41993,0.55523,0.24369,0.85093,0.075711,221,1.181,1,0.20031,96,0.18519,0.66951,0.47918,-0.39719,,0.092663,0,,,,0.45278,1.3231,1.0945,,14.899,0.49571,0.028238,0.082798,0.25918,0.2366,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,6,67,learned,46,237,1,966,21.67,82,8465,606,2000,236,1,0.18529,1e-06,-1.8529e+05,,0.041303,236,1,1,0.23107,0,,,,,,,0,,,,0.37995,,,,4.2756,,0.025626,,0.5793,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,7,79,learned,47,217,1,1655,21.68,82,8631,606,2000,237,0.69822,0.77626,0.61237,-0.26763,0.47148,0.25053,161,1.472,1,0.20375,0,,,,,,,0,,,,0.42188,,0.82981,,4.966,,0.027525,,0.42628,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,8,88,learned,48,151,7,1999,20.48,83,8761,611,2000,383,0.31442,1.146,0.62259,-0.8407,0.48267,0.41632,115,1.4261,1,0.23956,41,0.030969,0.57561,0.13809,-3.1682,0.75,0.18584,1,41,41,,0.4141,1.313,0.98003,,11.489,0.2994,0.029612,0.083729,0.22878,0.25735,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,9,97,learned,49,232,3,1820,26.88,84,9007,611,2000,260,0.91293,0.3042,0.29571,-0.028701,0.73405,0.064362,229,1.1092,1,0.19937,0,,,,,,,0,,,,0.44071,,1.0538,,19.798,,0.026427,,0.20489,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,10,104,learned,50,147,3,842,15.03,84,9171,611,2000,198,0.73798,0.61325,0.57516,-0.066213,0.56807,0.16633,136,1.4118,1,0.20563,0,,,,,,,0,,,,0.41089,,1.1966,,7.1472,,0.026741,,0.15722,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,11,110,learned,51,156,3,1871,17.98,86,9259,623,2000,325,0.24441,1.3115,0.5561,-1.3583,0.35072,0.48413,76,1.6711,1,0.19196,47,0.033675,0.60308,0.14729,-3.0944,0.71739,0.19636,1,47,47,,0.39194,1.3643,0.66521,,10.561,0.6366,0.027496,0.084537,0.30952,0.2602,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,12,111,learned,52,234,1,796,20.93,87,9493,623,2000,233,1,0.22386,1e-06,-2.2385e+05,,0.054257,233,1,1,0.17963,0,,,,,,,0,,,,0.40817,,,,4.1719,,0.025115,,0.32501,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,13,126,learned,53,148,1,349,11.78,87,9642,623,2000,150,0.98808,0.25279,0.06467,-2.9089,0.49206,0.058398,147,1.0204,1,0.1644,0,,,,,,,0,,,,0.36738,,1.7816,,4.4418,,0.024287,,0.29666,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,14,157,learned,54,234,1,491,17.78,87,9876,623,2000,233,1,0.20594,1e-06,-2.0594e+05,,0.050956,233,1,1,0.19363,0,,,,,,,0,,,,0.40902,,,,4.5293,,0.024458,,0.29471,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,15,159,learned,55,225,1,488,17.9,87,10101,623,2000,224,1,0.18304,1e-06,-1.8304e+05,,0.041869,224,1,1,0.20691,0,,,,,,,0,,,,0.3831,,,,5.0943,,0.024042,,0.33542,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,16,168,learned,56,147,3,592,12.98,87,10251,623,2000,158,0.94381,0.29969,0.21636,-0.38511,0.70585,0.06537,144,1.0556,1,0.20851,0,,,,,,,0,,,,0.37797,,0.96203,,12.118,,0.027286,,0.2784,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,17,174,learned,57,150,1,364,11.98,87,10401,623,2000,149,1,0.15177,1e-06,-1.5177e+05,,0.029528,149,1,1,0.22046,0,,,,,,,0,,,,0.37978,,,,5.9844,,0.023326,,0.16167,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,18,176,learned,58,148,7,6170,49.45,104,10497,759,2000,728,0.11101,0.63963,0.34862,-0.83474,0.75653,0.20867,68,2.25,1,0.28517,539,0.016515,0.58314,0.084149,-5.9298,0.68131,0.18876,4,25.25,25,0.20291,0.4115,1.4531,0.83002,4.2721,7.437,0.46763,0.031776,0.079926,0.25225,0.25128,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,19,181,learned,59,231,1,460,18.07,105,10728,759,2000,230,1,0.18335,1e-06,-1.8335e+05,,0.041348,230,1,1,0.21175,0,,,,,,,0,,,,0.41513,,,,5.1342,,0.022882,,0.13876,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,20,189,learned,60,228,1,499,17.93,105,10956,759,2000,227,1,0.17655,1e-06,-1.7655e+05,,0.038498,227,1,1,0.20248,0,,,,,,,0,,,,0.40362,,,,5.5768,,0.023695,,0.48782,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,21,199,learned,61,232,6,3318,30.32,108,11110,789,2000,426,0.31008,1.0608,0.61917,-0.7132,0.48011,0.35289,111,1.4955,1,0.23644,99,0.03005,0.62295,0.13492,-3.6173,0.18367,0.19843,1,3,3,,0.41848,1.4024,1.0348,,14.531,0.43728,0.025553,0.06363,0.26812,0.24509,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,22,226,learned,62,148,1,479,12.78,109,11267,789,2000,158,0.95792,0.33333,0.17451,-0.91003,0.34385,0.077194,147,1.0748,1,0.22308,0,,,,,,,0,,,,0.37756,,1.007,,4.4799,,0.024265,,0.43123,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,23,237,learned,63,227,1,1582,25.66,109,11494,789,2000,226,1,0.22314,1e-06,-2.2314e+05,,0.055285,226,1,1,0.22587,0,,,,,,,0,,,,0.4147,,,,5.6262,,0.024723,,0.33342,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,24,247,learned,64,233,1,686,20.35,109,11727,789,2000,232,1,0.21413,1e-06,-2.1413e+05,,0.055009,232,1,1,0.25339,0,,,,,,,0,,,,0.39707,,,,5.3777,,0.024543,,0.22472,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,25,264,learned,65,146,7,2020,17.78,110,11813,798,2000,346,0.23222,1.253,0.54194,-1.312,0.4246,0.42976,67,1.9552,1,0.25819,43,0.099787,0.60268,0.32461,-0.8566,0.28571,0.14278,1,43,43,,0.38162,1.6093,1.2029,,14.089,0.33255,0.028377,0.062158,0.22637,0.25365,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,26,266,learned,66,145,1,288,11.15,111,11958,798,2000,144,1,0.32189,1e-06,-3.2189e+05,,0.09075,144,1,1,0.22581,0,,,,,,,0,,,,0.38251,,,,4.1887,,0.026572,,0.2516,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,27,280,learned,67,144,1,251,10.95,111,12102,798,2000,143,1,0.19845,1e-06,-1.9845e+05,,0.044523,143,1,1,0.19609,0,,,,,,,0,,,,0.35066,,,,3.9702,,0.025037,,0.40404,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,28,292,learned,68,147,5,4485,38.47,124,12221,897,2000,576,0.17551,0.79912,0.46451,-0.72036,0.69298,0.26281,86,1.907,1,0.21942,324,0.02163,0.59872,0.10432,-4.7395,0.4621,0.19254,3,28,25,-0.11274,0.40223,1.504,0.99809,4.7108,13.826,0.48783,0.02941,0.065058,0.26883,0.2437,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,29,294,learned,69,144,5,6635,56.79,152,12343,1094,2000,747,0.14185,0.61211,0.4083,-0.49917,0.7727,0.20444,98,1.3878,1,0.22228,657,0.020536,0.5746,0.10012,-4.7393,0.39868,0.18303,7,13.286,5,-0.032995,0.42483,1.3832,0.95195,3.9281,5.4013,0.44803,0.028904,0.045381,0.23213,0.2451,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,30,297,learned,70,231,1,1527,26.56,153,12577,1094,2000,233,0.99046,0.27458,0.053889,-4.0953,0.71884,0.073868,230,1.013,1,0.24264,0,,,,,,,0,,,,0.41213,,0.54673,,7.8361,,0.026017,,0.27016,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,31,299,learned,71,231,1,763,20.99,153,12809,1094,2000,231,0.99779,0.20987,0.015708,-12.361,0.73478,0.049462,230,1.0043,1,0.21611,0,,,,,,,0,,,,0.39794,,0.6828,,4.5982,,0.025555,,0.23626,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,32,301,learned,72,232,1,1820,25.99,153,13008,1094,2000,260,0.73186,0.75027,0.5814,-0.29045,0.3757,0.23212,183,1.4208,1,0.17863,0,,,,,,,0,,,,0.41227,,1.9221,,10.615,,0.027454,,0.32326,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,33,304,learned,73,148,1,1032,12.71,153,13111,1094,2000,203,0.47893,0.83906,0.69226,-0.21206,0.50971,0.28647,91,2.2308,1,0.16631,0,,,,,,,0,,,,0.38343,,2.7474,,4.3183,,0.025359,,0.19407,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,34,313,learned,74,231,1,1452,24.88,153,13347,1094,2000,236,0.98599,0.28393,0.073698,-2.8525,0.38478,0.068462,230,1.0261,1,0.21732,0,,,,,,,0,,,,0.40852,,0.82222,,4.6331,,0.026489,,0.22537,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,1,35,317,learned,75,237,2,1223,17.86,153,13506,1094,2000,262,0.5863,0.89087,0.67818,-0.31362,0.48428,0.31205,151,1.7219,1,0.18767,0,,,,,,,0,,,,0.44438,,3.1639,,9.8638,,0.026877,,0.14896,,0,
