dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,random,1,109,45,1505,88.59,0,0,0,0,221,0.43243,0.69315,0.68399,-0.013393,0.5,0.017535,7,19.429,25,0.49332,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,7,0,0,9.1429,16,1
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,random,1,121,101,1505,80.98,0,0,0,0,215,0.40419,0.69315,0.67467,-0.02738,0.5,0.024862,6,34.5,41,0.49543,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,6,0,0,3.3333,8,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,random,1,163,133,1505,85.39,0,0,0,0,215,0.41618,0.69315,0.67903,-0.020794,0.5,0.025088,9,20,15,0.49666,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,9,0,0,3.3333,4,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,random,1,59,27,1503,50.94,0,0,0,0,219,0.45062,0.69315,0.68826,-0.0070965,0.5,0.010499,5,15.6,19,0.48903,0,,,,,,,0,,,,,,,,,,,,0,,,,1503,0,0,5,0,0,6.4,8,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,random,1,71,47,1505,56.46,0,0,0,0,215,0.39429,0.69315,0.67063,-0.03358,0.5,0.020448,4,19.5,37,0.49169,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,4,0,0,6,8,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,random,1,80,60,1505,88.25,0,0,0,0,215,0.40513,0.69315,0.67504,-0.026831,0.5,0.021767,5,25.2,35,0.49276,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,5,0,0,4,8,2
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,random,1,110,110,1505,84.56,0,0,0,0,215,0.1221,0.69315,0.37108,-0.86791,,0.14318,0,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,0,0,0,,0,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,random,1,87,1,6,0.98,0,0,0,0,4,1,0.69315,1e-06,,,0.25,4,1,1,0.49096,0,,,,,,,0,,,,,,,,,,,,0,,,,6,0,0,4,0,0,21.5,32,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,random,1,94,42,1505,69.75,0,0,0,0,219,0.38025,0.69315,0.66418,-0.043606,0.5,0.027739,5,24.8,36,0.49232,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,5,0,0,10.4,16,2
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,random,1,114,26,1505,90.3,0,0,0,0,215,0.40383,0.69315,0.67454,-0.027592,0.5,0.02529,8,15.875,13,0.49265,0,,,,,,,0,,,,,,,,,,,,0,,,,1505,0,0,8,0,0,11,16,2
