dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,random,1,224,1,182,8.6,0,0,0,0,26,0.29859,0.69315,0.60966,-0.13693,0.5,0.19344,6,4.3333,1,0.49596,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,random,1,224,1,50,0.88,0,0,0,0,10,0.602,0.69315,0.67219,-0.031171,0.5,0.18105,5,2,1,0.49703,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,random,1,228,6,5848,83.53,0,0,0,0,560,0.081723,0.69315,0.28296,-1.4497,0.5,0.20926,15,17.933,15,0.47644,551,0.069526,0.69315,0.25241,-1.7461,,0.19489,0,,,,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,random,1,220,2,2054,28.76,0,0,0,0,219,0.18048,0.69315,0.47213,-0.46814,0.5,0.1666,13,7.9231,2,0.46092,171,0.066319,0.69315,0.24401,-1.8406,0.5,0.1997,2,1.5,2,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,random,1,233,1,16,0.13,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.4972,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,random,1,155,6,10003,141.88,0,0,0,0,1028,0.037832,0.69315,0.16099,-3.3055,0.5,0.23164,14,29.857,31,0.4703,955,0.017814,0.69315,0.089405,-6.7529,0.5,0.23877,4,41.25,76,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,random,1,148,1,10,0.08,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49315,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,random,1,227,1,2135,24.98,0,0,0,0,264,0.17368,0.69315,0.46168,-0.50137,0.5,0.1695,15,13.467,9,0.46954,89,0.042538,0.69315,0.17593,-2.94,0.5,0.22189,1,41,41,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,random,1,231,1,12,0.11,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49716,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,random,1,150,1,14,0.32,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49344,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,11,152,random,1,145,1,10,0.15,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49263,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,12,158,random,1,146,1,11,0.07,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49281,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,13,178,random,1,147,6,10003,47.32,0,0,0,0,988,0.024216,0.69315,0.11402,-5.0791,0.5,0.23819,9,31.111,26,0.47041,1055,0.024874,0.69315,0.11644,-4.9527,0.5,0.23754,9,12.333,5,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,14,192,random,1,143,2,489,1.93,0,0,0,0,68,0.21468,0.69315,0.52009,-0.33274,0.5,0.17645,8,5,3,0.46017,31,0.1255,0.69315,0.37774,-0.83499,0.5,0.17049,1,7,7,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,15,195,random,1,232,1,87,0.31,0,0,0,0,13,0.58473,0.69315,0.67872,-0.021255,0.5,0.12198,5,2.6,1,0.49718,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,16,210,random,1,149,1,658,2.38,0,0,0,0,98,0.078178,0.69315,0.2743,-1.527,0.5,0.24465,7,2,1,0.48691,7,0.2046,0.69315,0.50672,-0.36792,0.5,0.20147,1,7,7,,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,17,211,random,1,234,1,10,0.03,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49721,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,18,212,random,1,151,2,3223,14.1,0,0,0,0,383,0.12107,0.69315,0.36905,-0.87817,0.5,0.18688,14,11.143,4,0.45264,207,0.070182,0.69315,0.25411,-1.7277,0.5,0.20528,3,21,23,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,19,214,random,1,140,11,10005,81.15,0,0,0,0,1080,0.049267,0.69315,0.19635,-2.5301,0.5,0.22676,20,24.55,26,0.48201,840,0.010115,0.69315,0.056531,-11.261,0.5,0.24469,3,37.667,41,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,20,215,random,1,231,1,83,0.95,0,0,0,0,13,0.43908,0.69315,0.68571,-0.010853,0.5,0.20535,5,2.6,1,0.49716,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,21,220,random,1,155,1,743,5.77,0,0,0,0,108,0.054769,0.69315,0.21232,-2.2646,0.5,0.23525,4,7,1,0.48814,25,0.082103,0.69315,0.28388,-1.4417,0.5,0.21268,1,25,25,,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,22,239,random,1,227,1,13,0.14,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49709,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,23,242,random,1,155,1,10,0.17,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49404,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,24,252,random,1,145,1,898,7.31,0,0,0,0,130,0.02959,0.69315,0.13331,-4.1993,0.5,0.24454,3,15.667,8,0.49126,38,0.032926,0.69315,0.14477,-3.7879,0.5,0.24382,1,38,38,,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,25,253,random,1,223,1,18,0.18,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49701,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,26,254,random,1,147,1,10,0.14,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49298,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,27,261,random,1,234,3,5439,43.62,0,0,0,0,510,0.095102,0.69315,0.31419,-1.2062,0.5,0.20269,12,13,11,0.46827,554,0.069032,0.69315,0.25113,-1.7601,0.5,0.20572,4,12.75,9,0.4999,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,28,263,random,1,225,1,49,0.18,0,0,0,0,7,0.80807,0.69315,0.48902,-0.41743,0.5,0.18701,5,1.4,1,0.49705,0,,,,,,,0,,,,,,,,,,,,0,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,29,267,random,1,234,2,973,4.64,0,0,0,0,139,0.10087,0.69315,0.32699,-1.1198,0.5,0.2379,12,4.5833,3,0.46244,6,0.22401,0.69315,0.53194,-0.30305,0.5,0.19748,1,6,6,,,,,,,,,,0,0,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,30,279,random,1,232,1,11,0.04,0,0,0,0,5,1,0.69315,1e-06,,,0.25,5,1,1,0.49718,0,,,,,,,0,,,,,,,,,,,,0,,,
