dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,1,7,learned,1,19,3,190,1.94,0,8,0,16,30,0.17721,1.0637,0.46713,-1.2771,0.27885,0.37712,4,6.75,9,0.07491,0,,,,,,,0,,,,1.8442,,1.8363,,2.9897,,0.079834,,0.66048,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,2,17,learned,2,9,9,6111,69.7,232,20,235,126,501,0.072206,0.62704,0.25931,-1.4181,,0.15107,0,,,,767,0.073107,0.3364,0.2616,-0.28593,,0.030671,0,,,,0.533,0.28578,,,0.79769,0.13032,0.064645,0.037871,0.31796,0.057121,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,3,25,learned,3,15,1,858,8.41,236,27,236,174,124,0.31068,0.77618,0.61965,-0.25262,0.35861,0.0868,2,32,57,-0.1875,57,0.31262,0.72404,0.62118,-0.16558,0.46429,0.041099,1,57,57,,0.64287,,1.9902,,0.94172,,0.055359,,0.23719,0.20329,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,4,29,learned,4,11,2,1016,9.83,240,37,237,218,148,0.07567,0.5601,0.26807,-1.0894,0.32899,0.1461,4,21.25,10,0.097222,72,0.04895,0.23314,0.19541,-0.19307,0.90141,0.024131,1,72,72,,0.61088,,1.243,,1.0895,,0.05431,,0.15737,0.41153,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,5,32,learned,5,8,1,8,0.16,244,40,237,220,2,0.5666,0.66035,0.68425,,1,0.17689,1,2,2,-0.3125,0,,,,,,,0,,,,0.5916,,0.51552,,2.5206,,0.0441,,0.37409,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,6,33,learned,6,23,1,8,0.22,244,43,237,223,2,1,0.4517,1e-06,,,0.13307,2,1,1,-0.056522,0,,,,,,,0,,,,0.62702,,,,0.47186,,0.055107,,0.32137,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,7,35,learned,7,22,3,102,1.14,244,49,237,234,18,0.24785,0.6775,0.55996,-0.20991,1,0.21971,4,3.75,1,0.068872,0,,,,,,,0,,,,0.59836,,1.1636,,0.67777,,0.065346,,0.52854,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,8,38,learned,8,12,2,1030,9.58,244,59,238,287,150,0.23757,0.94272,0.54826,-0.71947,0.23373,0.20739,4,15.5,8,0.20833,52,0.26121,0.57623,0.57432,-0.0033368,0.96078,0.015038,1,52,52,,0.6664,,0.98312,,1.2318,,0.060112,,0.20234,0.23415,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,9,48,learned,9,19,3,229,2.22,248,69,238,309,37,0.18593,0.77815,0.48027,-0.62023,0.95625,0.24736,5,7.2,9,0.11061,0,,,,,,,0,,,,0.84588,,0.85777,,2.423,,0.046528,,0.47637,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,10,50,learned,10,9,1,15,0.2,248,72,238,312,3,0.6324,0.67428,0.65766,,0,0.075043,1,3,3,-0.33333,0,,,,,,,0,,,,1.0542,,1.1793,,0.32063,,0.042397,,0.27405,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,11,59,learned,11,6,3,100,0.92,248,77,238,321,16,0.28739,0.6682,0.5998,-0.11404,0.89286,0.12491,2,6.5,11,0.3125,0,,,,,,,0,,,,0.92486,,1.7292,,2.4778,,0.051863,,0.22746,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,12,60,learned,12,23,1,3,0.21,248,80,238,324,2,1,0.30966,1e-06,,,0.070932,2,1,1,-0.35217,0,,,,,,,0,,,,0.9858,,,,1.2282,,0.057722,,0.27884,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,13,77,learned,13,18,2,75,1.04,248,87,238,334,15,0.43001,0.79086,0.68332,-0.15738,0.94,0.22466,5,3,1,0.078333,0,,,,,,,0,,,,0.93843,,0.77386,,1.2697,,0.066421,,0.18203,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,14,86,learned,14,9,2,6477,69.91,437,103,427,447,524,0.047849,0.64651,0.19213,-2.3649,0.28151,0.18874,3,4.3333,3,0.14815,812,0.03889,0.35773,0.1644,-1.176,0.46116,0.070849,1,50,50,0.41084,0.73601,0.29639,1.5725,8.9847,1.4956,5.3249,0.049711,0.053429,0.23735,0.16943,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,15,87,learned,15,8,1,543,5.71,445,107,429,471,78,0.30166,0.96353,0.61226,-0.57372,0.064935,0.1698,1,1,1,0,49,0.30861,0.70924,0.61799,-0.14767,0.54167,0.052944,1,1,1,0.49994,0.81761,0.30678,,,0.62818,0.40843,0.034351,0.10068,0.14932,0.16439,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,16,111,learned,16,8,1,1,0.11,449,109,429,473,1,1,0.3396,1e-06,,,0.082912,1,1,1,-0.3125,0,,,,,,,0,,,,0.95255,,,,0.59712,,0.049157,,0.15,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,17,114,learned,17,4,1,653,8.27,477,113,455,488,59,0.38511,0.94255,0.66651,-0.41416,0.44298,0.14007,2,7.5,14,0.25,86,0.36847,0.7604,0.65814,-0.15537,1,0.054714,1,14,14,,0.98887,0.31846,,,0.67659,0.75078,0.058771,0.070071,0.22628,0.28916,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,18,125,learned,18,13,4,4218,48.23,630,126,603,566,354,0.049183,0.75896,0.1961,-2.8702,0.73219,0.24402,3,9.6667,9,0.15897,516,0.049643,0.48586,0.19746,-1.4605,0.14757,0.12003,1,24,24,0.37083,0.83438,0.31333,0.62413,6.7876,1.5274,0.36117,0.059672,0.04398,0.33872,0.090893,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,19,134,learned,19,6,1,1,0.12,634,128,603,568,1,1,0.30224,1e-06,,,0.068038,1,1,1,-0.083333,0,,,,,,,0,,,,0.98701,,,,2.941,,0.03756,,0.28089,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,20,143,learned,20,24,2,82,1.35,634,137,603,578,16,0.37387,0.87944,0.66098,-0.33051,0.67273,0.28584,5,3.2,2,0.050694,0,,,,,,,0,,,,0.9753,,0.7232,,3.3058,,0.042163,,0.28984,,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,21,144,learned,21,16,2,2902,89.31,674,150,641,656,322,0.076336,1.3675,0.26973,-4.0699,0.25865,0.48773,4,22.5,13,0.048611,305,0.060437,0.31628,0.22817,-0.38617,0.34211,0.030905,1,73,73,,0.92215,0.32114,1.8178,,1.6672,0.26714,0.050792,0.063807,0.23603,0.11971,,
BBBP-c0cc58bdf4acf93936322304bf6b669e,0,22,145,learned,22,8,1,2,0.65,678,152,641,658,1,1,0.36558,1e-06,,,0.093763,1,1,1,-0.3125,0,,,,,,,0,,,,1.0169,,,,0.65534,,0.039102,,0.2107,,,
