dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,33,1505,37.28,0,16,0,63,221,0.42723,0.84927,0.68252,-0.24432,0.21028,0.089756,7,17.857,16,0.087555,0,,,,,,,0,,,,3.1621,,1.7653,,7.3066,,0.052241,,0.38884,,,,1505,0,0,7,0,0,10.857,16,2
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,113,1505,39.12,0,25,0,128,215,0.31219,1.0517,0.62084,-0.69399,0.046729,0.2037,1,12,12,0,0,,,,,,,0,,,,1.0927,,2.453,,1.5982,,0.046035,,0.19121,,,,1505,0,0,1,0,0,8,8,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,139,1505,38.94,0,36,0,194,215,0.31399,1.2103,0.62225,-0.94504,0.27044,0.26003,3,20,25,0.10587,0,,,,,,,0,,,,0.79211,,1.7774,,1.7835,,0.045116,,0.11564,,,,1505,0,0,3,0,0,8,8,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,5,1506,44.48,0,55,0,268,222,0.45024,1.1204,0.68819,-0.62803,0.47664,0.17228,8,20.25,22,0.097973,49,0.41634,0.70077,0.67908,-0.031937,,0.010818,0,,,,0.72064,,2.8507,,0.57152,,0.03335,,0.11226,0.33237,,,1163,343,0,8,0,0,6.75,16,1
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,35,1505,40.04,0,74,0,347,215,0.42795,1.1605,0.68273,-0.69977,0.61655,0.19401,8,21.375,25,0.12804,0,,,,,,,0,,,,0.73452,,2.3279,,0.89237,,0.034243,,0.081023,,,,1505,0,0,8,0,0,4.5,8,1
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,64,1506,38.93,0,85,0,417,216,0.37696,1.1903,0.66255,-0.7965,0.30841,0.21828,2,9,13,0.050347,0,,,,,,,0,,,,0.73752,,1.6909,,0.77795,,0.037335,,0.07689,,,,1506,0,0,2,0,0,8,8,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,1505,40.7,0,93,0,488,215,0.1224,1.7009,0.37168,-3.5762,,0.53326,0,,,,0,,,,,,,0,,,,0.7054,,,,0.46572,,0.03421,,0.10156,,,,1505,0,0,0,0,0,,0,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,10,0.67,0,98,0,493,4,1,0.16468,1e-06,,,0.0231,4,1,1,-0.006838,0,,,,,,,0,,,,0.72141,,,,0.23117,,0.036204,,0.11258,,,,10,0,0,4,0,0,21.5,32,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,26,1506,40.64,0,117,0,567,222,0.39809,1.1352,0.67223,-0.68875,0.64544,0.2019,8,24.125,29,0.099408,0,,,,,,,0,,,,0.74757,,2.9275,,1.4503,,0.035108,,0.14779,,,,1506,0,0,8,0,0,8.5,16,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,34,1505,41.37,0,138,0,649,215,0.43657,1.1839,0.68508,-0.72808,0.35761,0.19696,9,19.444,20,-0.02249,0,,,,,,,0,,,,0.78545,,2.5736,,0.52116,,0.030206,,0.072567,,,,1505,0,0,9,0,0,8.8889,16,0
