dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,learned,1,224,1,259,4.47,0,11,0,16,37,0.24251,0.84016,0.55396,-0.51666,0.3,0.26789,7,5.2857,2,0.0069848,0,,,,,,,0,,,,5.9289,,1.0286,,10.958,,0.082371,,0.55777,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,learned,2,224,1,43,0.55,0,19,0,25,9,0.58578,0.6788,0.67836,-0.00064898,0.5,0.21916,5,1.8,1,0.059429,0,,,,,,,0,,,,2.1175,,1.0055,,4.3478,,0.049946,,0.43439,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,learned,3,228,4,6203,68.79,151,52,146,216,642,0.088651,1.143,0.2994,-2.8175,0.46487,0.40175,10,21.9,27,-0.0018782,594,0.068012,0.56235,0.24847,-1.2633,0.65975,0.13685,4,29,32,0.33198,0.90004,0.42663,1.5487,4.8011,1.1981,0.43701,0.043693,0.06838,0.25448,0.39253,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,learned,4,220,3,1764,9.81,171,80,161,290,215,0.17755,0.96073,0.46766,-1.0543,0.56326,0.29347,14,11.071,13,0.017321,85,0.074947,0.52232,0.26625,-0.96175,0.19048,0.11157,1,1,1,0.10677,0.81483,0.41845,2.1394,,2.499,0.48243,0.038011,0.076209,0.34954,0.42202,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,learned,5,233,1,10,0.21,175,86,161,296,5,1,0.2909,1e-06,,,0.064441,5,1,1,0.072593,0,,,,,,,0,,,,0.79454,,,,0.57881,,0.035706,,0.2589,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,learned,6,155,6,10007,65.78,363,137,343,604,1062,0.041073,0.76721,0.17134,-3.4777,0.77692,0.26259,14,30.143,31,0.10345,901,0.018138,0.56807,0.090703,-5.2629,0.31049,0.18014,5,26.6,21,0.13173,0.56567,0.38646,2.469,5.3969,1.3754,1.0223,0.036958,0.078777,0.33052,0.37372,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,learned,7,148,1,10,0.32,367,143,343,610,5,1,0.37188,1e-06,,,0.096998,5,1,1,-0.041761,0,,,,,,,0,,,,0.61698,,,,0.92676,,0.037435,,0.28845,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,learned,8,227,1,7182,59.53,588,180,556,749,625,0.056097,0.88421,0.21609,-3.0919,0.64798,0.31214,15,10.867,12,-0.030256,832,0.021403,0.31705,0.10345,-2.0648,0.19743,0.067256,3,10,1,-0.11932,0.64902,0.31551,2.0287,3.9695,2.267,2.1116,0.041239,0.057064,0.10969,0.29119,,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,learned,9,231,1,13,0.27,592,186,556,755,5,1,0.33868,1e-06,,,0.08261,5,1,1,0.059714,0,,,,,,,0,,,,0.66092,,,,0.8566,,0.038428,,0.2308,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,learned,10,150,1,10,0.22,592,192,556,761,5,1,0.32277,1e-06,,,0.076211,5,1,1,0.03689,0,,,,,,,0,,,,0.62797,,,,0.55159,,0.043398,,0.24552,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,11,152,learned,11,145,1,10,0.24,592,198,556,767,5,1,0.32309,1e-06,,,0.076662,5,1,1,0.014541,0,,,,,,,0,,,,0.63572,,,,0.55718,,0.045894,,0.26066,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,12,158,learned,12,146,1,12,0.27,592,204,556,773,5,1,0.33879,1e-06,,,0.082881,5,1,1,-0.054058,0,,,,,,,0,,,,0.65421,,,,0.64013,,0.048988,,0.19885,,0,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,13,178,learned,13,147,6,10003,81.4,806,248,756,1051,1027,0.037048,0.49385,0.15845,-2.1168,0.75411,0.14289,12,25.667,27,0.097647,977,0.024539,0.54508,0.11521,-3.731,0.6348,0.16711,8,13.125,8,0.3717,0.60385,0.34072,2.11,4.0387,1.8412,0.83377,0.037057,0.056295,0.21047,0.2677,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,14,192,learned,14,143,2,188,2.14,810,262,756,1070,32,0.356,0.81623,0.65108,-0.25365,0.57488,0.24768,9,3.5556,1,-0.10244,0,,,,,,,0,,,,0.67604,,1.389,,3.0922,,0.038554,,0.19372,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,15,195,learned,15,232,1,124,2.12,810,271,756,1079,20,0.45881,0.93864,0.68975,-0.36084,0.70238,0.23487,6,3.3333,1,-0.0039559,0,,,,,,,0,,,,0.62868,,2.318,,1.6249,,0.041617,,0.20746,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,16,210,learned,16,149,1,609,5.5,810,284,756,1122,91,0.087015,1.3917,0.29558,-3.7086,0.18878,0.54814,7,1.2857,1,-0.010464,1,1,1.9681,1e-06,,,0.74008,1,1,1,,0.70745,,0.90404,,2.9374,,0.039177,,0.22016,0.2788,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,17,211,learned,17,234,1,10,0.21,810,290,756,1128,5,1,0.27392,1e-06,,,0.05758,5,1,1,0.071679,0,,,,,,,0,,,,0.61743,,,,0.6768,,0.039494,,0.22304,,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,18,212,learned,18,151,3,2356,17.27,876,313,817,1221,265,0.090814,1.1143,0.30442,-2.6603,0.56084,0.40061,11,5.9091,2,-0.059782,177,0.057516,0.4336,0.22008,-0.9702,0.58046,0.099859,3,3,2,0.25956,0.76423,0.35419,1.6921,1.3115,3.1248,1.4987,0.037301,0.05541,0.26755,0.28217,,
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,19,214,learned,19,140,11,10005,69.12,1069,349,1005,1466,979,0.022907,0.55906,0.10915,-4.122,0.72271,0.17777,8,41.125,38,0.14456,1099,0.0073244,0.36633,0.043308,-7.4588,0.69599,0.098329,2,68,134,0.442,0.68201,0.27805,2.3172,0.59709,2.491,0.73882,0.036386,0.047702,0.17461,0.32329,,
