dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,random,1,109,50,1506,93.74,0,0,0,0,182,0.41088,0.69315,0.67718,-0.023586,0.5,0.027973,8,4.25,2,0.49413,84,0.34892,0.69315,0.64678,-0.071697,,0.024562,0,,,,,,,,,,,,0,0,,,918,308,280,8,0,0,7.375,16,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,random,1,121,102,1505,92.81,0,0,0,0,175,0.32467,0.69315,0.63034,-0.09964,0.5,0.073561,7,5.4286,2,0.4956,84,0.044949,0.69315,0.18337,-2.7801,,0.20712,0,,,,,,,,,,,,0,0,,,917,308,280,7,0,0,2.7143,4,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,random,1,163,140,1505,93.58,0,0,0,0,195,0.39679,0.69315,0.67169,-0.031948,0.5,0.045491,10,11.7,14,0.49676,42,0.055152,0.69315,0.21341,-2.2479,,0.19796,0,,,,,,,,,,,,0,0,,,1211,154,140,10,0,0,2.3,4,2
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,random,1,59,9,1506,203.35,0,0,0,0,191,0.46308,0.69315,0.69042,-0.0039529,0.5,0.013268,7,7,3,0.48303,75,0.43904,0.69315,0.6857,-0.010866,0.5,0.0087603,1,1,1,0.49998,,,,,,,,,0,0,,,987,308,211,7,0,1,5.2857,16,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,random,1,71,48,1507,199.2,0,0,0,0,177,0.4056,0.69315,0.67522,-0.026552,0.5,0.025688,6,5.3333,1,0.49202,84,0.29655,0.69315,0.60791,-0.1402,,0.042578,0,,,,,,,,,,,,0,0,,,919,308,280,6,0,0,3.8333,8,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,random,1,80,60,1505,193.17,0,0,0,0,180,0.38392,0.69315,0.66595,-0.040841,0.5,0.044546,8,6,3,0.49301,79,0.18079,0.69315,0.47258,-0.46672,,0.10266,0,,,,,,,,,,,,0,0,,,952,308,245,8,0,0,2.5,4,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,random,1,110,110,1505,197.8,0,0,0,0,149,0.093183,0.69315,0.30984,-1.2371,,0.16861,0,,,,132,0.029006,0.69315,0.13127,-4.2803,,0.22194,0,,,,,,,,,,,,0,0,,,581,462,462,0,0,0,,0,6
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,random,1,87,1,11,2.17,0,0,0,0,7,1,0.69315,1e-06,,,0.25,7,1,1,0.49136,0,,,,,,,0,,,,,,,,,,,,0,,,,11,0,0,7,0,0,12.286,32,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,random,1,94,51,1501,169.64,0,0,0,0,191,0.42271,0.69315,0.68115,-0.017612,0.5,0.028033,10,8.1,10,0.49317,63,0.30419,0.69315,0.61437,-0.12822,,0.045601,0,,,,,,,,,,,,0,0,,,1060,231,210,10,0,0,4.3,8,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,random,1,114,51,1505,196.36,0,0,0,0,185,0.43726,0.69315,0.68525,-0.011517,0.5,0.024534,10,8.6,4,0.49456,63,0.3535,0.69315,0.64959,-0.067056,,0.024366,0,,,,,,,,,,,,0,0,,,1064,231,210,10,0,0,6.3,16,2
