dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,random,1,224,1,161,1.91,0,0,0,0,23,0.43301,0.69315,0.68414,-0.013159,0.5,0.2112,9,2.5556,1,0.49639,0,,,,,,,0,,,,,,,,,,,,0,,,,161,0,0,9,0,0,24.778,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,random,1,224,1,108,1.05,0,0,0,0,20,0.56618,0.69315,0.68436,-0.012836,0.5,0.14083,8,2.5,2,0.49721,0,,,,,,,0,,,,,,,,,,,,0,,,,108,0,0,8,0,0,27.875,96,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,random,1,228,3,1224,15.82,0,0,0,0,175,0.1469,0.69315,0.4173,-0.66102,0.5,0.18296,10,14.9,15,0.45873,27,0.085618,0.69315,0.29228,-1.3715,0.5,0.21031,1,27,27,,,,,,,,,,0,0,,,1036,188,0,9,1,0,12.333,26,12
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,random,1,220,3,490,5.82,0,0,0,0,70,0.24567,0.69315,0.55753,-0.24324,0.5,0.18117,11,4,2,0.47093,1,1,0.69315,1e-06,,,0.25,1,1,1,,,,,,,,,,0,0,,,483,7,0,10,1,0,10.7,32,12
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,random,1,233,1,28,0.15,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49736,0,,,,,,,0,,,,,,,,,,,,0,,,,28,0,0,8,0,0,29,105,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,random,1,155,7,10003,50.98,0,0,0,0,958,0.048684,0.69315,0.19462,-2.5615,0.5,0.22278,12,32.583,35,0.47374,1066,0.020262,0.69315,0.099057,-5.9974,0.5,0.23686,4,26.25,44,0.4999,,,,,,,,,0,0,,,2557,4101,3345,10,2,2,9.4,25,5
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,random,1,148,1,16,0.06,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49356,0,,,,,,,0,,,,,,,,,,,,0,,,,16,0,0,8,0,0,18.375,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,random,1,227,2,500,2.06,0,0,0,0,72,0.27974,0.69315,0.5927,-0.16947,0.5,0.18642,14,5.1429,2,0.4703,0,,,,,,,0,,,,,,,,,,,,0,,,,500,0,0,14,0,0,16.071,64,8
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,random,1,231,1,17,0.04,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49733,0,,,,,,,0,,,,,,,,,,,,0,,,,17,0,0,8,0,0,28.75,103,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,random,1,150,1,16,0.05,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49388,0,,,,,,,0,,,,,,,,,,,,0,,,,16,0,0,8,0,0,18.625,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,11,152,random,1,145,1,16,0.05,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49298,0,,,,,,,0,,,,,,,,,,,,0,,,,16,0,0,8,0,0,18,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,12,158,random,1,146,1,17,0.06,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49319,0,,,,,,,0,,,,,,,,,,,,0,,,,17,0,0,8,0,0,18.125,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,13,178,random,1,147,6,10002,95.79,0,0,0,0,925,0.035572,0.69315,0.15361,-3.5124,0.5,0.23291,12,22.333,25,0.46649,1150,0.014442,0.69315,0.075535,-8.1765,0.5,0.24043,3,36,37,0.4999,,,,,,,,,0,0,,,1968,4446,3588,11,1,2,7.2727,21,6
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,14,192,random,1,143,2,215,2.61,0,0,0,0,37,0.41165,0.69315,0.67745,-0.023164,0.5,0.17232,11,3.3636,1,0.46524,0,,,,,,,0,,,,,,,,,,,,0,,,,215,0,0,11,0,0,12.818,64,8
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,15,195,random,1,232,1,132,1.87,0,0,0,0,20,0.53761,0.69315,0.69032,-0.0041027,0.5,0.1502,8,2.5,1,0.49735,0,,,,,,,0,,,,,,,,,,,,0,,,,132,0,0,8,0,0,28.875,104,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,16,210,random,1,149,1,231,2.29,0,0,0,0,37,0.20987,0.69315,0.51378,-0.34911,0.5,0.23424,7,2.4286,1,0.48691,7,0.2046,0.69315,0.50672,-0.36792,0.5,0.20147,1,7,7,,,,,,,,,,0,0,,,186,45,0,6,1,0,12.333,32,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,17,211,random,1,234,1,27,0.25,0,0,0,0,8,1,0.69315,1e-06,,,0.25,8,1,1,0.49738,0,,,,,,,0,,,,,,,,,,,,0,,,,27,0,0,8,0,0,29.125,106,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,18,212,random,1,151,3,1793,11.7,0,0,0,0,181,0.099223,0.69315,0.32337,-1.1435,0.5,0.21483,10,5,2,0.45971,180,0.057033,0.69315,0.21872,-2.169,0.5,0.21589,3,12,14,0.4999,,,,,,,,,0,0,,,545,682,566,9,1,2,8.1111,32,14
