dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,38,1507,101.52,28,21,29,60,197,0.44596,0.76193,0.68729,-0.1086,0.36757,0.058413,12,6.3333,3,0.064774,70,0.36771,0.75982,0.65773,-0.15522,0.52174,0.057107,1,9,9,,0.69476,0.57882,1.3634,,4.0021,0.12515,0.039689,0.056886,0.057499,0.14139,,,1023,288,196,11,1,0,5.9091,16,2
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,109,1505,100.25,72,33,69,111,175,0.35505,0.77254,0.65052,-0.18758,0.47535,0.096195,6,4.8333,5,0.012289,84,0.070027,0.39439,0.25371,-0.55452,,0.04867,0,,,,0.65204,0.43739,1.9909,,1.4299,0.12023,0.032631,0.041282,0.051472,0.12884,,,917,308,280,6,0,0,2,4,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,140,1505,93.53,100,53,99,171,185,0.37131,0.75533,0.65965,-0.14506,0.68119,0.087243,9,8.5556,7,0.11399,63,0.053574,0.27346,0.20891,-0.30899,,0.015835,0,,,,0.6701,0.37474,1.3615,,1.6989,0.14481,0.028987,0.048795,0.038335,0.074235,,,1064,231,210,9,0,0,2.5556,4,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,5,1503,78.82,140,79,132,258,192,0.47688,0.71865,0.69208,-0.038396,0.57963,0.03264,12,6.6667,7,0.13485,80,0.42065,0.86639,0.6805,-0.27317,0.72152,0.068919,1,7,7,,0.69566,0.46444,1.7196,,2.2372,0.16851,0.026639,0.046132,0.080031,0.1329,,,949,323,231,11,1,0,4.3636,16,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,48,1507,94.55,180,93,172,314,177,0.40664,0.73546,0.67561,-0.088584,0.78558,0.04503,6,4,4,0.23902,84,0.30016,0.63266,0.611,-0.035447,,0.0099064,0,,,,0.69179,0.50293,2.424,,1.576,0.19296,0.031154,0.043036,0.06529,0.12426,,,919,308,280,6,0,0,3.8333,8,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,53,1503,96.64,216,107,211,362,178,0.3756,0.74918,0.66187,-0.13192,0.37928,0.066233,7,6.5714,3,0.096015,83,0.23355,0.54927,0.54354,-0.010554,,0.0091334,0,,,,0.71047,0.50967,1.6446,,1.994,0.18341,0.030097,0.041642,0.048933,0.10324,,,922,308,273,7,0,0,3.8571,8,3
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,1505,110.34,284,117,277,457,149,0.10201,0.8323,0.32948,-1.5261,,0.22906,0,,,,132,0.040074,0.2881,0.16818,-0.71304,,0.030163,0,,,,0.75444,0.4348,,,0.92602,0.15685,0.032157,0.031172,0.049092,0.11713,,,581,462,462,0,0,0,,0,6
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,9,2.04,288,125,277,465,7,1,0.53712,1e-06,,,0.17289,7,1,1,-0.047146,0,,,,,,,0,,,,0.75134,,,,1.369,,0.032507,,0.04872,,,,9,0,0,7,0,0,12.286,32,0
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,43,1504,100.22,328,139,317,514,180,0.37109,0.73698,0.65954,-0.11742,0.72172,0.060321,7,4,1,-0.040738,84,0.3085,0.64545,0.6179,-0.044588,,0.016982,0,,,,0.7433,0.46208,0.94316,,1.5322,0.18309,0.036922,0.045033,0.057022,0.1884,,,916,308,280,7,0,0,7.2857,16,4
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,71,1505,84,368,154,357,559,175,0.4159,0.73148,0.67893,-0.077389,0.43488,0.044773,8,5.375,3,0.084956,84,0.32307,0.68167,0.62916,-0.08346,,0.018636,0,,,,0.74399,0.49844,2.6674,,1.1874,0.17168,0.033779,0.036231,0.023477,0.10839,,,917,308,280,8,0,0,5.375,8,3
