dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,learned,1,224,1,224,1.3,0,11,0,18,32,0.34069,0.90763,0.64149,-0.41488,0.28986,0.30195,9,3.5556,1,0.057701,0,,,,,,,0,,,,1.2494,,4.1726,,7.9468,,0.085259,,0.60821,,,,224,0,0,9,0,0,24.778,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,learned,2,224,1,31,0.27,0,21,0,27,9,0.92461,0.47657,0.26736,-0.78249,0.25,0.12149,8,1.125,1,0.1148,0,,,,,,,0,,,,0.68667,,0.98783,,4.6569,,0.062203,,0.43677,,,,31,0,0,8,0,0,27.875,96,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,learned,3,228,4,5310,37.61,161,52,162,174,523,0.086834,0.81107,0.29515,-1.748,0.56576,0.25843,13,19,15,-0.13886,490,0.060709,0.34688,0.22891,-0.51532,0.5123,0.052199,2,11,13,-0.04528,0.68607,0.32604,2.577,2.4609,3.8692,0.24654,0.038082,0.06689,0.18589,0.27564,,,1881,1770,1659,12,1,1,12.083,36,9
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,learned,4,220,3,490,2.74,165,70,162,221,70,0.25725,0.79253,0.57016,-0.39001,0.70262,0.22511,11,4,1,0.12648,1,1,1.6895,1e-06,,,0.66485,1,1,1,,0.66191,,2.8015,,2.3144,,0.040299,,0.18809,0.2703,,,483,7,0,10,1,0,10.7,32,12
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,learned,5,233,1,17,0.27,165,79,162,230,8,1,0.54401,1e-06,,,0.17647,8,1,1,0.11165,0,,,,,,,0,,,,0.64044,,,,1.2117,,0.041419,,0.22104,,,,17,0,0,8,0,0,29,105,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,learned,6,155,6,10007,125.69,391,127,383,522,977,0.030942,0.64784,0.138,-3.6944,0.66502,0.21471,13,23.923,25,0.093875,1078,0.013401,0.23246,0.071099,-2.2695,0.36505,0.04587,6,11.167,3,0.10795,0.53361,0.24551,3.1046,1.2364,1.8505,0.41391,0.041122,0.064486,0.14476,0.31323,,,2497,4264,3246,12,1,5,10.25,58,4
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,learned,7,148,1,16,0.29,395,136,383,531,8,1,0.52433,1e-06,,,0.16695,8,1,1,0.076238,0,,,,,,,0,,,,0.50457,,,,1.1463,,0.040137,,0.22807,,,,16,0,0,8,0,0,18.375,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,learned,8,227,3,651,3.97,395,155,383,583,93,0.21528,0.82935,0.52087,-0.59224,0.37353,0.22014,8,8.5,7,-0.078213,15,0.30406,0.64616,0.61427,-0.051926,0.57143,0.058232,1,15,15,,0.59375,,2.4286,,5.5863,,0.035296,,0.24529,0.30004,,,546,105,0,7,1,0,15.857,56,12
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,learned,9,231,1,23,0.43,395,164,383,592,8,1,0.62247,1e-06,,,0.21454,8,1,1,0.010714,0,,,,,,,0,,,,0.56214,,,,1.1547,,0.037352,,0.20503,,,,23,0,0,8,0,0,28.75,103,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,learned,10,150,1,17,0.32,395,173,383,601,8,1,0.53888,1e-06,,,0.17439,8,1,1,0.08313,0,,,,,,,0,,,,0.54918,,,,1.1279,,0.041078,,0.18979,,,,17,0,0,8,0,0,18.625,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,11,152,learned,11,145,1,16,0.26,395,182,383,610,8,1,0.58583,1e-06,,,0.19683,8,1,1,-0.038656,0,,,,,,,0,,,,0.53758,,,,1.0517,,0.042472,,0.20299,,,,16,0,0,8,0,0,18,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,12,158,learned,12,146,1,16,0.26,395,191,383,619,8,1,0.49309,1e-06,,,0.15207,8,1,1,0.068486,0,,,,,,,0,,,,0.52887,,,,1.207,,0.040881,,0.20606,,,,16,0,0,8,0,0,18.125,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,13,178,learned,13,147,6,10004,96.05,588,240,561,912,1029,0.053091,0.40961,0.20752,-0.97386,0.85398,0.093633,15,25,29,0.1367,967,0.022032,0.38074,0.10585,-2.5972,0.60962,0.10075,8,13.875,9,0.42482,0.52137,0.27444,2.3025,7.6829,2.7697,0.80354,0.036556,0.061193,0.17838,0.34828,0,0,3271,3905,2828,14,1,7,4.7143,18,2
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,14,192,learned,14,143,1,1389,21.38,620,264,588,958,155,0.19834,0.72177,0.4981,-0.44905,0.51166,0.17266,12,8.0833,2,-0.086986,128,0.13357,0.46588,0.39312,-0.18507,0.73228,0.049786,1,32,32,,0.53333,0.30059,1.789,,5.1558,0.75742,0.035896,0.068217,0.20417,0.31939,,,497,556,336,11,1,0,12.727,64,1
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,15,195,learned,15,232,1,107,1.72,624,275,588,970,17,0.6276,0.66927,0.66022,-0.013704,0.5,0.13098,8,2.125,1,-0.024464,0,,,,,,,0,,,,0.54754,,0.74322,,3.9218,,0.035146,,0.15707,,,,107,0,0,8,0,0,28.875,104,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,16,210,learned,16,149,1,189,2.35,624,286,588,1001,31,0.25011,0.82803,0.56245,-0.47219,0.27381,0.30059,7,1.2857,1,0.013515,1,1,2.2826,1e-06,,,0.80637,1,1,1,,0.61086,,0.65834,,2.0909,,0.036104,,0.16188,0.31199,,,186,3,0,6,1,0,12.333,32,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,17,211,learned,17,234,1,16,0.58,624,295,588,1010,8,1,0.60854,1e-06,,,0.20811,8,1,1,-0.0032253,0,,,,,,,0,,,,0.56954,,,,1.0333,,0.035385,,0.16203,,,,16,0,0,8,0,0,29.125,106,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,18,212,learned,18,151,2,1398,11.28,637,316,598,1090,187,0.1155,0.60473,0.35786,-0.68985,0.61582,0.16665,10,11.5,12,0.15428,92,0.048943,0.32423,0.19539,-0.6594,0.57778,0.063047,2,28,37,0.13329,0.65776,0.32005,1.991,6.2465,5.0121,2.3279,0.033333,0.10097,0.12251,0.30441,,,762,507,129,9,1,1,8.2222,26,9
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,19,214,learned,19,140,18,10001,77.95,781,375,738,1415,1046,0.063218,0.53703,0.23573,-1.2781,0.737,0.14335,19,28.211,31,0.10639,886,0.0047624,0.26703,0.030215,-7.8376,0.63955,0.058398,1,55,55,,0.56018,0.24283,2.9651,,2.9308,0.76378,0.028916,0.053446,0.13685,0.32047,,,3805,3403,2793,18,1,0,5.2778,25,5
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,20,215,learned,20,231,1,321,4.27,785,386,738,1446,47,0.30325,0.74719,0.6136,-0.21772,0.40952,0.13364,5,5.2,2,-0.0044549,17,0.24739,0.6553,0.55945,-0.17132,0.6875,0.088781,1,17,17,,0.67081,,1.6441,,4.9431,,0.031299,,0.15384,0.29378,,,202,119,0,4,1,0,51,96,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,21,220,learned,21,155,1,412,6.98,785,392,739,1475,60,0.087691,0.7743,0.29716,-1.6056,0.26316,0.26074,3,13,1,-0.020833,37,0.086839,0.43675,0.29516,-0.47968,0.63889,0.086704,1,37,37,,0.69312,,,,1.4672,,0.033049,,0.182,0.32223,,,157,255,0,2,1,0,38.5,51,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,22,239,learned,22,227,1,16,1.05,789,401,739,1484,8,1,0.55982,1e-06,,,0.18403,8,1,1,0.21681,0,,,,,,,0,,,,0.62194,,,,1.0681,,0.042786,,0.1679,,0,,16,0,0,8,0,0,28.25,99,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,23,242,learned,23,155,1,16,3.06,789,410,739,1493,8,1,0.56923,1e-06,,,0.18874,8,1,1,0.119,0,,,,,,,0,,,,0.61342,,,,1.4071,,0.03917,,0.17189,,,,16,0,0,8,0,0,19.25,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,24,252,learned,24,145,1,175,1.81,789,421,739,1523,29,0.25486,0.76214,0.56761,-0.34271,0.45455,0.27529,7,1.1429,1,0.060541,1,1,1.8931,1e-06,,,0.72147,1,1,1,,0.6432,,1.2764,,2.3831,,0.035598,,0.19153,0.31164,,,172,3,0,6,1,0,12,32,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,25,253,learned,25,223,1,26,0.94,789,431,739,1532,9,0.93238,0.57731,0.24744,-1.3331,0.875,0.1677,8,1.125,1,0.10036,0,,,,,,,0,,,,0.6115,,0.37724,,2.2731,,0.033732,,0.18831,,,,26,0,0,8,0,0,27.75,95,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,26,254,learned,26,147,1,15,0.85,789,440,739,1541,8,1,0.5673,1e-06,,,0.18801,8,1,1,0.13981,0,,,,,,,0,,,,0.61182,,,,1.2961,,0.033242,,0.20681,,,,15,0,0,8,0,0,18.25,64,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,27,261,learned,27,234,11,10002,74.16,989,488,941,1790,934,0.088239,0.60159,0.29844,-1.0157,0.47052,0.15353,16,18.188,16,-0.038198,1067,0.018674,0.24595,0.092834,-1.6494,0.49765,0.039739,2,13.5,26,,0.67923,0.27749,2.4051,,4.5129,0.78649,0.029265,0.046212,0.14182,0.29457,,,2541,3933,3528,14,2,0,7.4286,32,9
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,28,263,learned,28,225,1,252,1.33,993,499,941,1823,36,0.44716,0.7256,0.68755,-0.055344,0.51724,0.096425,7,1.8571,1,0.11505,4,0.49301,0.70957,0.69305,,1,0.092144,1,4,4,,0.6907,,1.2639,,2.1509,,0.02825,,0.19263,0.29563,,,224,28,0,6,1,0,20.833,63,0
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,29,267,learned,29,234,2,913,8.56,993,516,941,1873,131,0.086848,0.72874,0.29519,-1.4688,0.34858,0.24639,8,13.5,3,-0.061888,63,0.043227,0.3927,0.17807,-1.2053,0.16129,0.087026,1,63,63,,0.76358,,2.1448,,7.018,,0.032976,,0.16062,0.27816,,,472,441,0,7,1,0,16.429,62,8
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,30,279,learned,30,232,1,34,0.94,993,526,941,1882,10,0.84616,0.62165,0.42931,-0.44803,0.3125,0.18421,8,1.25,1,0.05918,0,,,,,,,0,,,,0.69362,,1.9018,,4.8016,,0.028142,,0.17627,,,,34,0,0,8,0,0,28.875,104,0
