dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,43,1504,210.13,16,21,16,63,207,0.40505,0.74077,0.67501,-0.097432,0.64569,0.055562,10,12.1,14,0.10558,34,0.35048,0.66047,0.64774,-0.01965,,0.0075436,0,,,,0.79014,0.6466,1.8477,,5.8926,0.30921,0.039397,0.088509,0.067461,0.22861,,,1266,126,112,10,0,0,6.6,16,2,"{""2"": [3, 12], ""4"": [3, 13], ""8"": [2, 35], ""16"": [2, 61], ""32"": [0, 44], ""64"": [0, 24]}","{""remove"": 0.67, ""swap"": 0.165, ""add"": 0.165}","[8, 2, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,109,1506,199.76,40,34,40,130,193,0.19258,0.80882,0.48995,-0.65082,0.18254,0.18856,4,20.25,20,-0.062551,51,0.046682,0.42311,0.18863,-1.2431,,0.079222,0,,,,0.64319,0.46555,2.7838,,3.7693,0.14421,0.029187,0.072684,0.063682,0.31336,,,1149,189,168,4,0,0,3,8,3,"{""1"": [2, 8], ""2"": [4, 22], ""4"": [3, 24], ""8"": [3, 64], ""16"": [2, 97], ""32"": [0, 56], ""64"": [0, 84]}","{""remove"": 0.607, ""swap"": 0.197, ""add"": 0.197}","[8, 2, 0, 0, 0, 0, 4]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,153,1504,208.09,68,44,69,186,188,0.17707,0.76412,0.46692,-0.6365,0.90991,0.16883,3,11.667,13,0.23127,62,0.065086,0.29271,0.24074,-0.21587,,0.014464,0,,,,0.5871,0.38034,1.8778,,3.3411,0.15124,0.03004,0.052414,0.075714,0.2476,,,1070,231,203,3,0,0,3.3333,4,4,"{""1"": [2, 8], ""2"": [5, 25], ""4"": [5, 44], ""8"": [3, 76], ""16"": [2, 123], ""32"": [0, 80], ""64"": [0, 154]}","{""remove"": 0.726, ""swap"": 0.137, ""add"": 0.137}","[8, 2, 0, 0, 0, 0, 7]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,8,1505,204.8,100,74,99,273,197,0.47757,0.70532,0.69214,-0.019039,0.67564,0.028061,14,6.5,4,0.068097,62,0.42427,0.80376,0.68163,-0.17917,,0.041833,0,,,,0.60442,0.44862,1.6497,,2.1895,0.21516,0.025877,0.061246,0.047205,0.17031,,,1071,224,210,14,0,0,3.6429,8,6,"{""1"": [3, 24], ""2"": [10, 66], ""4"": [11, 119], ""8"": [5, 86], ""16"": [2, 123], ""32"": [0, 103], ""64"": [0, 154]}","{""remove"": 0.798, ""swap"": 0.101, ""add"": 0.101}","[22, 2, 0, 0, 0, 0, 7]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,35,1507,166.26,108,93,105,335,215,0.38999,0.72338,0.66874,-0.081697,0.61353,0.046171,8,14.375,14,0.049156,16,0.31075,0.69464,0.6197,-0.12093,,0.034811,0,,,,0.65652,0.48916,2.1357,,6.4855,0.22013,0.028214,0.070156,0.047163,0.26481,,,1395,70,42,8,0,0,4.5,8,2,"{""1"": [3, 24], ""2"": [14, 86], ""4"": [12, 144], ""8"": [8, 186], ""16"": [2, 147], ""32"": [0, 139], ""64"": [0, 154]}","{""remove"": 0.796, ""swap"": 0.102, ""add"": 0.102}","[22, 2, 0, 0, 0, 0, 15]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,49,1505,198.21,120,110,114,405,211,0.34811,0.74794,0.64627,-0.15731,0.7563,0.073515,7,10.429,9,0.11548,24,0.22152,0.53817,0.52883,-0.017663,,0.0042699,0,,,,0.63915,0.48391,2.0049,,3.8857,0.26584,0.026676,0.070353,0.032278,0.26298,,,1337,105,63,7,0,0,4.4286,16,3,"{""1"": [4, 26], ""2"": [17, 102], ""4"": [14, 189], ""8"": [8, 239], ""16"": [3, 203], ""32"": [0, 163], ""64"": [0, 154]}","{""remove"": 0.8, ""swap"": 0.1, ""add"": 0.1}","[22, 2, 0, 0, 0, 0, 22]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,1505,165.98,136,118,129,478,200,0.098575,0.82299,0.32194,-1.5563,,0.22714,0,,,,40,0.035542,0.25211,0.15351,-0.64232,,0.022552,0,,,,0.6683,0.46706,,,3.7361,0.49689,0.024687,0.075142,0.049826,0.21317,,,1225,175,105,0,0,0,,0,4,"{""1"": [4, 49], ""2"": [17, 125], ""4"": [14, 259], ""8"": [8, 251], ""16"": [3, 215], ""32"": [0, 186], ""64"": [0, 166]}","{""remove"": 0.8, ""swap"": 0.1, ""add"": 0.1}","[22, 2, 0, 0, 0, 0, 22]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,43,6.95,140,129,129,490,11,0.86015,0.59632,0.40469,-0.47351,0.83333,0.1338,8,1.375,1,0.05964,0,,,,,,,0,,,,0.71579,,0.67842,,2.4105,,0.034889,,0.046905,,,,43,0,0,8,0,0,10.75,16,0,"{""1"": [4, 49], ""2"": [20, 129], ""4"": [14, 259], ""8"": [8, 251], ""16"": [8, 222], ""32"": [0, 186], ""64"": [0, 166]}","{""remove"": 0.8, ""swap"": 0.1, ""add"": 0.1}","[25, 2, 0, 0, 0, 3, 24]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,34,1504,133.97,144,145,135,559,214,0.36042,0.72795,0.65366,-0.11366,0.79247,0.055296,6,19.833,26,0.079292,16,0.32208,0.66702,0.62843,-0.061415,,0.015656,0,,,,0.70515,0.50951,2.6329,,3.2997,0.20408,0.032791,0.073247,0.031869,0.17675,,,1392,70,42,6,0,0,10,16,2,"{""1"": [4, 49], ""2"": [22, 145], ""4"": [14, 259], ""8"": [9, 274], ""16"": [11, 352], ""32"": [0, 209], ""64"": [0, 178]}","{""remove"": 0.8, ""swap"": 0.1, ""add"": 0.1}","[31, 2, 0, 0, 0, 3, 24]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,72,1503,145.81,148,171,138,638,220,0.40637,0.71903,0.67551,-0.064424,0.40974,0.042869,11,15.273,15,-0.10124,8,0.33325,0.69827,0.63646,-0.097122,,0.021845,0,,,,0.70227,,1.881,,7.5308,,0.025174,,0.03455,0.15627,,,1447,35,21,11,0,0,3.8182,16,1,"{""1"": [4, 49], ""2"": [31, 166], ""4"": [14, 259], ""8"": [10, 305], ""16"": [12, 485], ""32"": [0, 209], ""64"": [0, 208]}","{""remove"": 0.8, ""swap"": 0.1, ""add"": 0.1}","[31, 2, 0, 0, 0, 3, 35]"
