dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,learned,1,224,1,91,9.63,0,15,0,14,19,0.50066,0.77575,0.69315,-0.11917,0.34091,0.22705,8,2.375,3,-0.075484,0,,,,,,,0,,,,3.8904,,0.98283,,16.007,,0.069996,,0.34125,,,,91,0,0,8,0,0,27.875,64,0,"{""1"": [1, 2], ""2"": [1, 3], ""4"": [1, 3], ""8"": [1, 3], ""16"": [1, 3], ""64"": [3, 5]}","{""remove"": 0.671, ""swap"": 0.165, ""add"": 0.165}","[0, 0, 0, 0, 0, 0, 8]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,learned,2,224,1,16,2.51,0,24,0,23,8,1,0.53612,1e-06,,,0.17289,8,1,1,-0.0080357,0,,,,,,,0,,,,0.60702,,,,4.1371,,0.05744,,0.37828,,,,16,0,0,8,0,0,27.875,64,0,"{""1"": [2, 3], ""2"": [2, 4], ""4"": [2, 4], ""8"": [2, 4], ""16"": [2, 4], ""64"": [6, 8]}","{""remove"": 0.779, ""swap"": 0.111, ""add"": 0.111}","[0, 0, 6, 0, 0, 0, 10]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,learned,3,228,3,654,36.78,0,46,0,58,102,0.1941,0.94716,0.49211,-0.92468,0.4913,0.30426,10,9.9,8,-0.044736,0,,,,,,,0,,,,0.63151,,2.1611,,5.9794,,0.043275,,0.16471,,,,654,0,0,10,0,0,22.5,64,12,"{""1"": [3, 5], ""2"": [2, 13], ""4"": [4, 18], ""8"": [3, 8], ""16"": [5, 24], ""32"": [1, 27], ""64"": [8, 34]}","{""remove"": 0.559, ""swap"": 0.221, ""add"": 0.221}","[0, 0, 6, 0, 0, 0, 20]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,learned,4,220,2,155,74.87,0,61,0,76,29,0.4224,0.73399,0.68106,-0.077729,0.67262,0.17238,8,3.625,4,0.014721,0,,,,,,,0,,,,0.61807,,2.1305,,5.9433,,0.042091,,0.11555,,,,155,0,0,8,0,0,27.25,64,8,"{""1"": [5, 7], ""2"": [2, 21], ""4"": [6, 27], ""8"": [3, 8], ""16"": [6, 25], ""32"": [1, 27], ""64"": [11, 43]}","{""remove"": 0.721, ""swap"": 0.139, ""add"": 0.139}","[0, 0, 6, 0, 0, 0, 28]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,learned,5,233,1,8,30.31,0,70,0,85,8,1,0.5263,1e-06,,,0.16774,8,1,1,-0.045566,0,,,,,,,0,,,,0.55311,,,,1.7706,,0.044027,,0.26125,,,,8,0,0,8,0,0,29,64,0,"{""1"": [5, 7], ""2"": [2, 21], ""4"": [6, 27], ""8"": [8, 13], ""16"": [6, 25], ""32"": [1, 27], ""64"": [14, 46]}","{""remove"": 0.786, ""swap"": 0.107, ""add"": 0.107}","[0, 0, 6, 0, 0, 0, 36]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,learned,6,155,6,10001,1522.3,249,123,235,394,996,0.045631,0.68201,0.18544,-2.6777,0.75269,0.22126,14,16.786,14,0.070369,910,0.022081,0.51344,0.10603,-3.8423,0.60306,0.15789,6,17.333,5,0.34331,0.51167,0.23505,2.3715,8.8246,1.9026,1.6641,0.047463,0.057848,0.1591,0.37645,,0,3661,3241,3099,14,0,6,5.2143,8,4,"{""1"": [10, 88], ""2"": [2, 84], ""4"": [7, 182], ""8"": [16, 143], ""16"": [6, 81], ""32"": [1, 27], ""64"": [14, 94]}","{""remove"": 0.308, ""swap"": 0.16, ""add"": 0.533}","[0, 0, 26, 0, 0, 0, 36]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,learned,7,148,1,5,11.27,253,129,235,400,5,1,0.5773,1e-06,,,0.19326,5,1,1,-0.025174,0,,,,,,,0,,,,0.46008,,,,0.88501,,0.048861,,0.36634,,,,5,0,0,5,0,0,29.4,64,0,"{""1"": [11, 89], ""2"": [3, 85], ""4"": [7, 182], ""8"": [16, 143], ""16"": [7, 82], ""32"": [1, 27], ""64"": [16, 96]}","{""remove"": 0.797, ""swap"": 0.1, ""add"": 0.102}","[0, 0, 26, 0, 0, 0, 41]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,learned,8,227,2,2067,154.35,317,150,298,464,207,0.084353,0.67297,0.28927,-1.3264,0.71857,0.20687,9,11.444,8,-0.093412,194,0.059291,0.32319,0.22501,-0.43631,0.43005,0.043672,1,2,2,,0.45889,0.24956,1.4678,,4.7059,0.51882,0.042555,0.055413,0.25985,0.25266,,,715,680,672,8,1,0,27.875,64,12,"{""1"": [12, 94], ""2"": [4, 101], ""4"": [8, 206], ""8"": [17, 176], ""16"": [8, 83], ""32"": [1, 51], ""64"": [19, 102]}","{""remove"": 0.318, ""swap"": 0.578, ""add"": 0.104}","[0, 0, 26, 0, 0, 0, 50]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,learned,9,231,1,16,5.14,317,159,298,472,8,0.91176,0.61176,0.29845,-1.0498,0.42857,0.18445,7,1.1429,1,0.081424,0,,,,,,,0,,,,0.46416,,2.5836,,2.6027,,0.037761,,0.396,,,,16,0,0,7,0,0,32.857,64,0,"{""1"": [14, 96], ""2"": [4, 101], ""4"": [9, 207], ""8"": [17, 176], ""16"": [8, 83], ""32"": [2, 52], ""64"": [22, 106]}","{""remove"": 0.74, ""swap"": 0.159, ""add"": 0.101}","[0, 0, 28, 0, 0, 0, 55]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,learned,10,150,1,16,2.3,317,168,298,481,8,1,0.73173,1e-06,,,0.26694,8,1,1,0.087204,0,,,,,,,0,,,,0.45365,,,,1.1408,,0.042154,,0.15994,,,,16,0,0,8,0,0,18.625,64,0,"{""1"": [19, 101], ""2"": [4, 101], ""4"": [9, 207], ""8"": [17, 176], ""16"": [9, 84], ""32"": [2, 52], ""64"": [24, 108]}","{""remove"": 0.711, ""swap"": 0.188, ""add"": 0.101}","[0, 0, 36, 0, 0, 0, 55]"
