dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,random,1,109,18,1438,98.92,0,0,0,0,204,0.55043,0.69315,0.68805,-0.0074047,0.5,0.051287,38,3.6053,1,0.48849,68,0.34102,0.69315,0.64171,-0.080156,,0.026314,0,,,,,,,,,,,,0,0,,,962,238,238,38,0,0,2.3947,4,11,"{""1"": [17, 77], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.898, ""swap"": 0.051, ""add"": 0.051}","[38, 0, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,random,1,121,79,1507,78.87,0,0,0,0,245,0.55692,0.69315,0.68665,-0.0094582,0.5,0.044145,42,5.8095,3,0.49495,0,,,,,,,0,,,,,,,,,,,,0,,,,1507,0,0,42,0,0,1,1,0,"{""1"": [59, 322], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.898, ""swap"": 0.051, ""add"": 0.051}","[38, 0, 0, 0, 0, 0, 42]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,random,1,163,77,1507,94.91,0,0,0,0,289,0.62306,0.69315,0.66255,-0.046185,0.5,0.075619,86,3.3256,2,0.49566,0,,,,,,,0,,,,,,,,,,,,0,,,,1507,0,0,86,0,0,1,1,0,"{""1"": [145, 611], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.884, ""swap"": 0.058, ""add"": 0.058}","[38, 0, 0, 0, 0, 0, 128]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,random,1,59,5,1087,75.22,0,0,0,0,164,0.6401,0.69315,0.65336,-0.060895,0.5,0.083787,54,1.6852,1,0.47796,59,0.42285,0.69315,0.68119,-0.017547,,0.0061724,0,,,,,,,,,,,,0,0,,,674,210,203,54,0,0,1,1,12,"{""1"": [199, 745], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[90, 0, 0, 0, 0, 2, 128]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,random,1,71,28,1507,97.39,0,0,0,0,228,0.55176,0.69315,0.68778,-0.0078033,0.5,0.053357,43,4.1628,2,0.48931,41,0.25822,0.69315,0.57118,-0.21353,,0.058677,0,,,,,,,,,,,,0,0,,,1220,147,140,43,0,0,1,1,7,"{""1"": [242, 952], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[90, 0, 13, 0, 0, 2, 158]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,random,1,80,29,1507,94.9,0,0,0,0,250,0.5666,0.69315,0.68425,-0.013004,0.5,0.054855,51,3.3529,2,0.49016,18,0.20296,0.69315,0.50448,-0.37397,,0.095987,0,,,,,,,,,,,,0,0,,,1381,63,63,51,0,0,1,1,4,"{""1"": [293, 1193], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[90, 0, 13, 0, 0, 2, 209]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,random,1,110,110,1162,76.8,0,0,0,0,140,0.1191,0.69315,0.36512,-0.89839,,0.14716,0,,,,56,0.031783,0.69315,0.14089,-3.9199,,0.21933,0,,,,,,,,,,,,0,0,,,770,210,182,0,0,0,,0,10,"{""1"": [293, 1303], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[90, 0, 13, 0, 0, 2, 209]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,random,1,87,1,86,19.6,0,0,0,0,86,1,0.69315,1e-06,,,0.25,86,1,1,0.47646,0,,,,,,,0,,,,,,,,,,,,0,,,,86,0,0,86,0,0,1,1,0,"{""1"": [379, 1389], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[90, 0, 13, 0, 0, 2, 295]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,random,1,94,30,1408,95.45,0,0,0,0,211,0.59784,0.69315,0.67388,-0.028597,0.5,0.085436,64,2.3594,1,0.49117,60,0.24527,0.69315,0.55708,-0.24425,,0.066758,0,,,,,,,,,,,,0,0,,,988,210,210,64,0,0,1,1,10,"{""1"": [443, 1570], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[91, 0, 65, 0, 0, 2, 306]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,random,1,114,15,1100,89.85,0,0,0,0,212,0.70855,0.69315,0.60344,-0.14866,0.5,0.1191,99,1.6869,1,0.4899,60,0.37793,0.69315,0.66304,-0.045403,,0.015345,0,,,,,,,,,,,,0,0,,,680,210,210,99,0,0,1,1,10,"{""1"": [542, 1752], ""2"": [5, 28], ""4"": [16, 65]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[91, 0, 65, 0, 0, 2, 405]"
