dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,random,1,224,1,74,0.49,0,0,0,0,38,0.87684,0.69315,0.37317,-0.85747,0.5,0.24227,33,1.1515,1,0.48657,0,,,,,,,0,,,,,,,,,,,,0,,,,74,0,0,33,0,0,6.7576,32,0,"{""1"": [7, 7], ""2"": [6, 6], ""4"": [7, 7], ""8"": [6, 6], ""16"": [6, 6], ""32"": [1, 6]}","{""remove"": 0.881, ""swap"": 0.06, ""add"": 0.06}","[0, 0, 0, 0, 0, 0, 33]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,random,1,224,1,41,0.24,0,0,0,0,20,0.8987,0.69315,0.32792,-1.1138,0.5,0.22011,17,1.1765,1,0.46829,0,,,,,,,0,,,,,,,,,,,,0,,,,41,0,0,17,0,0,13.118,16,0,"{""1"": [8, 8], ""2"": [7, 7], ""4"": [8, 8], ""8"": [7, 7], ""16"": [19, 22], ""32"": [1, 6]}","{""remove"": 0.88, ""swap"": 0.06, ""add"": 0.06}","[0, 0, 1, 0, 0, 0, 49]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,random,1,228,4,4930,28.28,0,0,0,0,751,0.3539,0.69315,0.64983,-0.06666,0.5,0.20374,219,1.3014,1,0.49106,294,0.071606,0.69315,0.25777,-1.689,0.5,0.19728,1,2,2,,,,,,,,,,0,0,,,2872,1183,875,218,1,0,1,1,7,"{""1"": [226, 518], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.845, ""swap"": 0.1, ""add"": 0.055}","[0, 0, 1, 0, 0, 162, 106]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,random,1,220,2,2000,9.63,0,0,0,0,348,0.39644,0.69315,0.67154,-0.03217,0.5,0.18563,108,1.2778,1,0.48349,72,0.10287,0.69315,0.33135,-1.0919,0.5,0.18733,2,4.5,8,0.4999,,,,,,,,,0,0,,,1507,338,155,107,1,1,1,1,9,"{""1"": [333, 817], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.602, ""swap"": 0.336, ""add"": 0.062}","[0, 0, 1, 0, 0, 162, 215]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,random,1,233,1,232,0.74,0,0,0,0,232,1,0.69315,1e-06,,,0.25,232,1,1,0.48916,0,,,,,,,0,,,,,,,,,,,,0,,,,232,0,0,232,0,0,1,1,0,"{""1"": [565, 1049], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.784, ""swap"": 0.161, ""add"": 0.055}","[0, 0, 1, 0, 0, 162, 447]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,random,1,155,10,9024,114.69,0,0,0,0,1107,0.096184,0.69315,0.31662,-1.1892,0.5,0.22692,68,3.1471,1,0.48589,991,0.0068281,0.69315,0.040855,-15.966,0.5,0.24561,2,28,41,,,,,,,,,,0,0,,,2095,5382,1547,66,2,0,1,1,13,"{""1"": [631, 1386], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.853, ""swap"": 0.094, ""add"": 0.053}","[0, 0, 69, 0, 0, 162, 447]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,random,1,148,1,147,0.5,0,0,0,0,147,1,0.69315,1e-06,,,0.25,147,1,1,0.48443,0,,,,,,,0,,,,,,,,,,,,0,,,,147,0,0,147,0,0,1,1,0,"{""1"": [778, 1533], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.899, ""swap"": 0.051, ""add"": 0.05}","[0, 0, 69, 0, 0, 162, 594]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,random,1,227,2,890,6.39,0,0,0,0,320,0.77341,0.69315,0.53512,-0.29532,0.5,0.19848,225,1.4133,1,0.48999,0,,,,,,,0,,,,,,,,,,,,0,,,,890,0,0,225,0,0,1,1,8,"{""1"": [1003, 1853], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.898, ""swap"": 0.052, ""add"": 0.05}","[0, 0, 69, 0, 0, 162, 819]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,random,1,231,1,441,3.01,0,0,0,0,230,1,0.69315,1e-06,,,0.25,230,1,1,0.48908,0,,,,,,,0,,,,,,,,,,,,0,,,,441,0,0,230,0,0,1,1,0,"{""1"": [1233, 2083], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.899, ""swap"": 0.051, ""add"": 0.05}","[0, 0, 187, 0, 0, 162, 931]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,random,1,150,1,262,0.94,0,0,0,0,156,0.97243,0.69315,0.12618,-4.4934,0.5,0.23969,149,1.047,1,0.48459,0,,,,,,,0,,,,,,,,,,,,0,,,,262,0,0,149,0,0,1,1,0,"{""1"": [1382, 2239], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.897, ""swap"": 0.052, ""add"": 0.05}","[0, 0, 251, 0, 0, 162, 1016]"
