dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,22,1505,284.2,32,54,34,103,211,0.54011,0.74359,0.68993,-0.07778,0.53084,0.068644,35,4.3429,1,0.093087,71,0.34414,0.69419,0.64375,-0.078365,,0.023825,0,,,,0.53423,0.6531,1.8408,,1.181,0.13561,0.031848,0.054934,0.14162,0.083292,,,1008,259,238,35,0,0,2.4857,8,7,"{""1"": [7, 36], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.855, ""swap"": 0.073, ""add"": 0.073}","[35, 0, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,77,1506,254.48,36,137,36,347,245,0.56127,0.68792,0.68562,-0.0033514,0.66599,0.045583,44,4.4318,3,0.11142,5,0.053406,0.46579,0.20842,-1.2349,,0.088985,0,,,,0.65284,,1.7812,,1.5779,,0.021893,,0.062233,0.0896,,,1471,21,14,44,0,0,1,1,1,"{""1"": [51, 278], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.898, ""swap"": 0.051, ""add"": 0.051}","[35, 0, 0, 0, 0, 0, 44]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,66,1504,287.86,44,280,40,638,293,0.63246,0.58627,0.65764,0.10853,0.87534,0.041479,97,2.3402,1,0.26474,10,0.083726,0.46498,0.28778,-0.61575,,0.063613,0,,,,0.64249,0.62009,1.573,,4.8372,0.1506,0.020303,0.094843,0.057096,0.072178,0,,1434,42,28,97,0,0,1,1,2,"{""1"": [148, 565], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.89, ""swap"": 0.055, ""add"": 0.055}","[35, 0, 3, 0, 0, 0, 138]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,5,864,184.15,72,351,70,743,132,0.68078,0.63613,0.62628,-0.015719,0.62274,0.073533,54,1.7963,1,0.2125,60,0.42938,0.69734,0.68314,-0.020785,,0.0067379,0,,,,0.6142,0.63051,1.4393,,3.66,0.072897,0.022445,0.056618,0.17298,0.040233,,,444,210,210,54,0,0,1,1,11,"{""1"": [202, 667], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[89, 0, 3, 0, 0, 0, 138]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,25,1159,136.35,104,422,100,898,173,0.5834,0.63757,0.67917,0.061248,0.77953,0.049245,46,2.5652,1,0.18065,60,0.28805,0.61555,0.60039,-0.02525,,0.0085063,0,,,,0.63194,0.62641,1.5266,,3.7881,0.098055,0.021689,0.041234,0.1035,0.18832,0,,739,210,210,46,0,0,1,1,10,"{""1"": [248, 810], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[89, 0, 10, 0, 0, 0, 177]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,34,1369,162.41,140,493,133,1070,198,0.55635,0.66524,0.68678,0.031365,0.78261,0.056402,46,2.3261,1,0.19872,66,0.21301,0.53837,0.51792,-0.039482,,0.012658,0,,,,0.64083,0.59848,1.2952,,4.8798,0.13865,0.017499,0.042135,0.12553,0.092829,,,907,231,231,46,0,0,1,1,12,"{""1"": [294, 975], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[89, 0, 24, 0, 0, 0, 209]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,1162,121.98,168,505,159,1184,140,0.12623,0.90677,0.37915,-1.3916,,0.22629,0,,,,56,0.050839,0.34219,0.20098,-0.70262,,0.041254,0,,,,0.7352,0.55448,,,2.3314,0.15571,0.030751,0.048728,0.0986,0.14105,,,770,210,182,0,0,0,,0,10,"{""1"": [294, 1085], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[89, 0, 24, 0, 0, 0, 209]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,184,50.93,172,592,159,1271,86,1,0.40831,1e-06,,,0.11645,86,1,1,0.072843,0,,,,,,,0,,,,0.63579,,,,1.4628,,0.019123,,0.1035,,,,184,0,0,86,0,0,1,1,0,"{""1"": [380, 1171], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[105, 0, 24, 0, 0, 27, 252]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,19,779,85.45,200,678,189,1384,140,0.71804,0.51175,0.59479,0.13962,0.85908,0.063706,75,1.2133,1,0.23384,60,0.27629,0.59833,0.58941,-0.015133,,0.0048935,0,,,,0.6138,0.53997,0.87173,,5.7704,0.16239,0.020489,0.057963,0.1128,0.10313,0,,359,210,210,75,0,0,1,1,11,"{""1"": [455, 1281], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[144, 0, 24, 0, 0, 27, 288]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,12,935,97.13,232,809,219,1553,191,0.74475,0.56844,0.56803,-0.0007185,0.76845,0.077967,102,1.4608,1,0.1847,60,0.39504,0.72434,0.67095,-0.079566,,0.021129,0,,,,0.60633,0.5615,1.0605,,6.9647,0.17868,0.021023,0.045478,0.10907,0.10326,0,,515,210,210,102,0,0,1,1,10,"{""1"": [557, 1442], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[144, 0, 24, 0, 0, 27, 390]"
