dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,learned,1,224,3,706,338.33,0,43,0,62,130,0.37792,1.1069,0.66304,-0.66944,0.22647,0.34523,35,3.6286,1,0.078488,0,,,,,,,0,,,,0.95779,,2.0778,,5.1194,,0.05323,,0.38625,,,,706,0,0,35,0,0,6.3143,32,12,"{""1"": [7, 10], ""2"": [7, 15], ""4"": [8, 22], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.722, ""swap"": 0.139, ""add"": 0.139}","[0, 0, 0, 0, 0, 0, 35]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,learned,2,224,1,125,477.96,0,106,0,122,64,0.94032,0.39234,0.22608,-0.73544,0.48563,0.089029,58,1.1034,1,0.063817,0,,,,,,,0,,,,0.23432,,1.3378,,0.83948,,0.032241,,0.39973,,,,125,0,0,58,0,0,3.8448,4,0,"{""1"": [8, 11], ""2"": [10, 20], ""4"": [62, 80], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.881, ""swap"": 0.059, ""add"": 0.059}","[0, 0, 23, 0, 0, 0, 70]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,learned,3,228,9,4481,829.11,92,260,92,492,555,0.28423,0.89287,0.5969,-0.49584,0.40869,0.26369,106,1.6604,1,0.078568,344,0.068332,0.4175,0.2493,-0.67467,0.85423,0.072545,1,14,14,,0.58832,0.23134,1.2039,,2.0684,0.085239,0.032936,0.039453,0.23536,0.2724,0,,2073,1274,1134,105,1,0,1,1,10,"{""1"": [113, 336], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.898, ""swap"": 0.051, ""add"": 0.051}","[0, 0, 23, 0, 0, 106, 70]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,learned,4,220,3,569,38.44,92,495,92,755,262,0.86473,0.52986,0.39628,-0.33709,0.62488,0.1519,217,1.1935,1,0.14228,0,,,,,,,0,,,,0.53154,,1.3152,,3.0243,,0.029257,,0.35805,,0,,569,0,0,217,0,0,1,1,12,"{""1"": [330, 598], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.899, ""swap"": 0.051, ""add"": 0.051}","[0, 0, 23, 0, 0, 106, 287]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,learned,5,233,1,232,76.67,92,728,92,988,232,1,0.284,1e-06,,,0.072445,232,1,1,0.18234,0,,,,,,,0,,,,0.45466,,,,2.2361,,0.024454,,0.36603,,0,,232,0,0,232,0,0,1,1,0,"{""1"": [562, 830], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.899, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 23, 0, 0, 106, 519]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,learned,6,155,155,3185,163.54,240,746,242,1162,305,0.00025304,1.22,0.0023487,,,0.44488,0,,,,300,0.0011377,0.080284,0.0088493,,,0.0077414,0,,,,0.73247,0.13181,,,2.7768,0.15233,0.037661,0.048405,0.30393,0.26773,,,1085,1050,1050,0,0,0,,0,10,"{""1"": [562, 985], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 23, 0, 0, 106, 519]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,learned,7,148,1,147,28.44,244,894,242,1310,147,1,0.30993,1e-06,,,0.083506,147,1,1,0.18036,0,,,,,,,0,,,,0.49915,,,,2.6149,,0.026327,,0.22434,,0,,147,0,0,147,0,0,1,1,0,"{""1"": [709, 1132], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 23, 0, 0, 106, 666]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,learned,8,227,4,2736,150.26,344,1145,343,1665,462,0.54328,0.58706,0.6894,0.14844,0.72711,0.14995,223,1.5157,1,0.18485,240,0.031606,0.15792,0.14028,-0.12574,,0.0056043,0,,,,0.50058,0.16007,1.6762,,8.7747,0.1627,0.031466,0.045819,0.28187,0.25005,0,,1056,840,840,223,0,0,1,1,8,"{""1"": [932, 1474], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 23, 0, 0, 106, 889]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,learned,9,231,1,413,47.15,348,1376,343,1896,230,1,0.29158,1e-06,,,0.079948,230,1,1,0.22733,0,,,,,,,0,,,,0.49613,,,,3.2899,,0.024757,,0.29935,,0,,413,0,0,230,0,0,1,1,0,"{""1"": [1162, 1704], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 123, 0, 0, 106, 1019]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,learned,10,150,1,240,32.76,348,1526,343,2000,149,1,0.25272,1e-06,,,0.063787,149,1,1,0.18643,0,,,,,,,0,,,,0.45124,,,,2.9702,,0.024352,,0.2342,,0,,240,0,0,149,0,0,1,1,0,"{""1"": [1311, 1853], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.9, ""swap"": 0.05, ""add"": 0.05}","[0, 0, 214, 0, 0, 106, 1077]"
