dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,random,1,109,18,1504,106.33,0,0,0,0,250,0.52008,0.69315,0.69234,-0.0011647,0.5,0.048727,41,2.5854,1,0.48819,89,0.36222,0.69315,0.65469,-0.058747,,0.020237,0,,,,,,,,,,,,0,0,,,881,623,0,41,0,0,2.2195,4,3,"{""1"": [21, 77], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[41, 0, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,random,1,121,78,1504,87.96,0,0,0,0,245,0.56139,0.69315,0.68559,-0.011022,0.5,0.04491,43,5.3256,4,0.49492,0,,,,,,,0,,,,,,,,,,,,0,,,,1504,0,0,43,0,0,1,1,0,"{""1"": [64, 322], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[41, 0, 0, 0, 0, 0, 43]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,random,1,163,84,1507,99.43,0,0,0,0,283,0.58019,0.69315,0.68023,-0.018988,0.5,0.085137,79,3,2,0.49582,24,0.091696,0.69315,0.30644,-1.2619,,0.1668,0,,,,,,,,,,,,0,0,,,1339,168,0,79,0,0,1,1,1,"{""1"": [143, 581], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[41, 0, 0, 0, 0, 0, 122]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,random,1,59,7,1504,111.3,0,0,0,0,252,0.55044,0.69315,0.68805,-0.0074093,0.5,0.055658,52,1.9231,1,0.48009,145,0.41948,0.69315,0.68012,-0.01915,,0.0066503,0,,,,,,,,,,,,0,0,,,489,1015,0,52,0,0,1,1,3,"{""1"": [195, 688], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[93, 0, 0, 0, 0, 0, 122]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,random,1,71,27,1504,111.56,0,0,0,0,249,0.49968,0.69315,0.69315,-3.0161e-07,0.5,0.06128,44,2.4091,1,0.48914,95,0.29846,0.69315,0.60955,-0.13714,,0.043696,0,,,,,,,,,,,,0,0,,,839,665,0,44,0,0,1,1,3,"{""1"": [239, 842], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[93, 0, 12, 0, 0, 0, 154]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,random,1,80,27,1502,94.35,0,0,0,0,260,0.51102,0.69315,0.6929,-0.0003503,0.5,0.070556,53,2.6415,2,0.48987,80,0.26065,0.69315,0.57374,-0.20813,,0.0612,0,,,,,,,,,,,,0,0,,,942,560,0,53,0,0,1,1,2,"{""1"": [292, 1022], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[93, 0, 12, 0, 0, 0, 207]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,random,1,110,110,1505,115.69,0,0,0,0,215,0.068515,0.69315,0.24978,-1.775,,0.18869,0,,,,150,0.036237,0.69315,0.1558,-3.4491,,0.21519,0,,,,,,,,,,,,0,0,,,455,1050,0,0,0,0,,0,4,"{""1"": [292, 1087], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[93, 0, 12, 0, 0, 0, 207]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,random,1,87,1,86,18.44,0,0,0,0,86,1,0.69315,1e-06,,,0.25,86,1,1,0.47646,0,,,,,,,0,,,,,,,,,,,,0,,,,86,0,0,86,0,0,1,1,0,"{""1"": [378, 1173], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[93, 0, 12, 0, 0, 0, 293]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,random,1,94,17,1501,112.62,0,0,0,0,271,0.5504,0.69315,0.68806,-0.0073964,0.5,0.090779,77,2.013,1,0.48905,99,0.27035,0.69315,0.58361,-0.1877,,0.053463,0,,,,,,,,,,,,0,0,,,808,693,0,77,0,0,1,1,2,"{""1"": [455, 1345], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[157, 0, 13, 0, 0, 0, 305]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,random,1,114,14,1507,122.93,0,0,0,0,301,0.61933,0.69315,0.66439,-0.043285,0.5,0.088462,100,1.94,1,0.48967,93,0.37192,0.69315,0.65997,-0.050273,,0.016855,0,,,,,,,,,,,,0,0,,,856,651,0,100,0,0,1,1,2,"{""1"": [555, 1553], ""2"": [5, 21], ""4"": [15, 63]}","{""remove"": 0.5}","[157, 0, 13, 0, 0, 0, 405]"
