dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,random,1,224,1,74,0.47,0,0,0,0,38,0.87684,0.69315,0.37317,-0.85747,0.5,0.24227,33,1.1515,1,0.48657,0,,,,,,,0,,,,,,,,,,,,0,,,,74,0,0,33,0,0,6.7576,32,0,"{""1"": [7, 7], ""2"": [6, 6], ""4"": [7, 7], ""8"": [6, 6], ""16"": [6, 6], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 0, 0, 0, 0, 33]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,random,1,224,1,41,0.15,0,0,0,0,20,0.8987,0.69315,0.32792,-1.1138,0.5,0.22011,17,1.1765,1,0.46829,0,,,,,,,0,,,,,,,,,,,,0,,,,41,0,0,17,0,0,13.118,16,0,"{""1"": [8, 8], ""2"": [7, 7], ""4"": [8, 8], ""8"": [7, 7], ""16"": [19, 22], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 1, 0, 0, 0, 49]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,random,1,228,3,6437,31.5,0,0,0,0,713,0.25285,0.69315,0.56544,-0.22585,0.5,0.18551,111,2.0541,1,0.48467,674,0.090852,0.69315,0.30451,-1.2763,0.5,0.18514,7,16.571,9,0.4999,,,,,,,,,0,0,,,1755,2625,2057,110,1,6,1,1,12,"{""1"": [118, 274], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 1, 0, 0, 117, 49]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,random,1,220,3,471,2.47,0,0,0,0,150,0.78031,0.69315,0.52652,-0.31648,0.5,0.21143,108,1.1574,1,0.48388,1,1,0.69315,1e-06,,,0.25,1,1,1,,,,,,,,,,0,0,,,469,2,0,107,1,0,1,1,12,"{""1"": [225, 423], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 1, 0, 0, 117, 157]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,random,1,233,1,232,0.71,0,0,0,0,232,1,0.69315,1e-06,,,0.25,232,1,1,0.48916,0,,,,,,,0,,,,,,,,,,,,0,,,,232,0,0,232,0,0,1,1,0,"{""1"": [457, 655], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 1, 0, 0, 117, 389]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,random,1,155,11,10003,121.16,0,0,0,0,871,0.097656,0.69315,0.3199,-1.1667,0.5,0.23727,68,2.6324,1,0.48567,1310,0.0071892,0.69315,0.042643,-15.255,0.5,0.24561,3,35.333,20,0.4999,,,,,,,,,0,0,,,845,4980,4178,67,1,2,1,1,5,"{""1"": [524, 814], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 71, 0, 0, 117, 389]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,random,1,148,1,147,0.45,0,0,0,0,147,1,0.69315,1e-06,,,0.25,147,1,1,0.48443,0,,,,,,,0,,,,,,,,,,,,0,,,,147,0,0,147,0,0,1,1,0,"{""1"": [671, 961], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 71, 0, 0, 117, 536]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,random,1,227,3,2022,10.83,0,0,0,0,296,0.44803,0.69315,0.68774,-0.0078694,0.5,0.1975,110,1.3636,1,0.48672,219,0.088517,0.69315,0.29909,-1.3175,0.5,0.19248,3,9,8,0.4999,,,,,,,,,0,0,,,507,905,610,108,2,1,1,1,14,"{""1"": [779, 1126], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 71, 0, 0, 117, 647]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,random,1,231,1,278,1.21,0,0,0,0,230,1,0.69315,1e-06,,,0.25,230,1,1,0.48908,0,,,,,,,0,,,,,,,,,,,,0,,,,278,0,0,230,0,0,1,1,0,"{""1"": [1009, 1356], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 95, 0, 0, 117, 853]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,random,1,150,1,297,1.14,0,0,0,0,149,1,0.69315,1e-06,,,0.25,149,1,1,0.48459,0,,,,,,,0,,,,,,,,,,,,0,,,,297,0,0,149,0,0,1,1,0,"{""1"": [1158, 1505], ""2"": [7, 31], ""4"": [8, 32], ""8"": [7, 19], ""16"": [19, 34], ""32"": [1, 6]}","{""remove"": 0.5}","[0, 0, 221, 0, 0, 117, 876]"
