dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,1,22,learned,1,109,22,1505,112.72,0,55,0,104,245,0.50413,0.7725,0.69311,-0.11454,0.52884,0.082358,35,4.3429,1,0.093087,72,0.31942,0.9192,0.62643,-0.46736,,0.13666,0,,,,0.54112,,1.8408,,1.1328,,0.030942,,0.14114,0.3746,,,1001,504,0,35,0,0,2.4857,8,2,"{""1"": [7, 35], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[35, 0, 0, 0, 0, 0, 0]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,2,122,learned,2,121,86,1503,110.68,0,126,0,310,239,0.46511,0.71239,0.69071,-0.031393,0.69286,0.085432,35,3.6286,2,0.12077,48,0.061042,1.0789,0.22982,-3.6946,,0.37063,0,,,,0.64658,,1.4221,,2.3209,,0.024332,,0.16285,0.37077,,,1167,336,0,35,0,0,1,1,2,"{""1"": [42, 226], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[35, 0, 0, 0, 0, 0, 35]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,3,157,learned,3,163,68,1505,119.49,0,267,0,590,295,0.61216,0.56881,0.66777,0.14819,0.90611,0.039328,95,2.7053,1,0.2954,18,0.074543,0.77676,0.26524,-1.9286,,0.22248,0,,,,0.62978,,1.6348,,4.7321,,0.023261,,0.14227,0.34872,0,,1379,126,0,95,0,0,1,1,0,"{""1"": [137, 503], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[35, 0, 4, 0, 0, 0, 126]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,4,186,learned,4,59,10,1505,135.72,0,338,0,717,250,0.54553,0.67431,0.68899,0.02131,0.80678,0.042225,49,1.6939,1,0.16483,140,0.41532,0.69886,0.67874,-0.029642,,0.01026,0,,,,0.61008,,1.1373,,2.7247,,0.023151,,0.17113,0.34856,,,525,980,0,49,0,0,1,1,4,"{""1"": [186, 613], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[84, 0, 4, 0, 0, 0, 126]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,5,270,learned,5,71,26,1501,135.06,0,403,0,863,253,0.51065,0.64234,0.69292,0.073001,0.85502,0.033915,45,1.8444,1,0.20578,127,0.35511,0.71858,0.65056,-0.10456,,0.036358,0,,,,0.61676,,1.3873,,3.1803,,0.023,,0.095548,0.31244,0,,612,889,0,45,0,0,1,1,3,"{""1"": [231, 739], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[84, 0, 4, 0, 0, 0, 171]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,6,504,learned,6,80,34,1502,116.62,0,476,0,1052,254,0.47492,0.70912,0.69189,-0.024904,0.74885,0.086989,46,2.6739,1,0.23912,78,0.17313,0.93226,0.46081,-1.0231,,0.21948,0,,,,0.60385,,1.6028,,3.8879,,0.016523,,0.074295,0.32591,,,956,546,0,46,0,0,1,1,3,"{""1"": [277, 915], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[84, 0, 4, 0, 0, 0, 217]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,7,564,learned,7,110,110,1505,125.59,0,485,0,1139,215,0.086001,0.96776,0.29319,-2.3008,,0.27074,0,,,,149,0.06082,0.712,0.22922,-2.1062,,0.20342,0,,,,0.79869,,,,2.4172,,0.032537,,0.10003,0.31684,,,462,1043,0,0,0,0,,0,4,"{""1"": [277, 981], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[84, 0, 4, 0, 0, 0, 217]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,8,701,learned,8,87,1,86,30.26,0,572,0,1226,86,1,0.4186,1e-06,,,0.12122,86,1,1,0.10084,0,,,,,,,0,,,,0.63242,,,,1.9307,,0.017643,,0.090169,,,,86,0,0,86,0,0,1,1,0,"{""1"": [363, 1067], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[84, 0, 4, 0, 0, 0, 303]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,9,844,learned,9,94,19,1504,143.72,0,665,0,1374,272,0.51015,0.66203,0.69294,0.04461,0.8354,0.087408,75,1.4533,1,0.2021,144,0.26542,0.78205,0.57865,-0.35151,,0.099021,0,,,,0.64952,,1.1291,,6.6399,,0.018859,,0.088332,0.30774,0,,496,1008,0,75,0,0,1,1,4,"{""1"": [438, 1195], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[134, 0, 4, 0, 0, 0, 328]"
PROTEINS-084c6a1896e8a96ebacf7ff4868f1197,0,10,1075,learned,10,114,16,1505,137.02,0,800,0,1596,299,0.62098,0.6117,0.66358,0.078188,0.7882,0.050357,98,1.9694,1,0.20088,90,0.37869,0.82725,0.66342,-0.24695,,0.077766,0,,,,0.63325,,1.5183,,6.8425,,0.022766,,0.060307,0.29745,0,,875,630,0,98,0,0,1,1,2,"{""1"": [536, 1404], ""2"": [18, 86], ""4"": [9, 46], ""8"": [1, 6]}","{""remove"": 0.5}","[134, 0, 4, 0, 0, 0, 426]"
