dataset,fold,instance_idx,instance_id,selector_mode,instances_seen,initial_size,final_size,oracle_calls,wall_s,steps_add,steps_rem,buf_add,buf_rem,rem_n,rem_pos_rate,rem_logloss,rem_logloss_base,rem_skill,rem_auc,rem_brier,rem_successes,rem_tries_mean,rem_tries_median,rem_rank_adv,add_n,add_pos_rate,add_logloss,add_logloss_base,add_skill,add_auc,add_brier,add_successes,add_tries_mean,add_tries_median,add_rank_adv,rem_bce_ema,add_bce_ema,rem_listwise_ema,add_listwise_ema,rem_grad_norm_ema,add_grad_norm_ema,rem_update_norm_ema,add_update_norm_ema,rem_head_std,add_head_std,rem_dormant,add_dormant,calls_remove,calls_swap,calls_add,succ_remove,succ_swap,succ_add,accepted_block_mean,accepted_block_max,retries,rung_stats,phase_shares,method_success
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,1,19,learned,1,224,3,706,3.18,0,43,0,62,130,0.37792,1.1069,0.66304,-0.66944,0.22647,0.34523,35,3.6286,1,0.078488,0,,,,,,,0,,,,0.95779,,2.0778,,5.1194,,0.05323,,0.38625,,,,706,0,0,35,0,0,6.3143,32,12,"{""1"": [7, 10], ""2"": [7, 15], ""4"": [8, 22], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 0, 0, 0, 0, 0, 35]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,2,41,learned,2,224,1,125,2.6,0,106,0,122,64,0.94032,0.39234,0.22608,-0.73544,0.48563,0.089029,58,1.1034,1,0.063817,0,,,,,,,0,,,,0.23432,,1.3378,,0.83948,,0.032241,,0.39973,,,,125,0,0,58,0,0,3.8448,4,0,"{""1"": [8, 11], ""2"": [10, 20], ""4"": [62, 80], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 0, 23, 0, 0, 0, 70]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,3,91,learned,3,228,3,5498,42.02,186,297,182,448,625,0.30555,0.66465,0.61549,-0.079865,0.71316,0.17802,141,1.5957,1,0.14547,584,0.05469,0.35335,0.2121,-0.66596,0.34882,0.060938,3,11.333,5,-0.38844,0.45563,0.30922,1.3148,3.8267,3.8507,0.65167,0.040393,0.06248,0.28114,0.25467,0,,1422,2205,1871,140,1,2,1,1,13,"{""1"": [148, 273], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 0, 23, 0, 0, 143, 70]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,4,95,learned,4,220,2,857,9.11,190,542,182,736,287,0.81883,0.52762,0.47316,-0.1151,0.59878,0.12738,213,1.23,1,0.1646,1,1,2.0449,1e-06,,,0.75796,1,1,1,,0.47024,,1.0059,,5.3383,,0.034005,,0.24405,0.24399,0,,854,3,0,212,1,0,1,1,8,"{""1"": [360, 559], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 44, 0, 0, 143, 259]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,5,99,learned,5,233,1,232,13.77,190,775,182,969,232,1,0.17975,1e-06,,,0.033652,232,1,1,0.16145,0,,,,,,,0,,,,0.3719,,,,1.7901,,0.026479,,0.21559,,0,,232,0,0,232,0,0,1,1,0,"{""1"": [592, 791], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 44, 0, 0, 143, 491]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,6,106,learned,6,155,5,10006,124.5,476,891,457,1294,904,0.12002,0.60132,0.36697,-0.63863,0.84629,0.16359,72,2.6111,1,0.12684,1264,0.019434,0.30186,0.095828,-2.15,0.55347,0.066651,7,20,11,0.31874,0.46166,0.26704,1.3176,2.1242,3.2595,0.37473,0.036141,0.069938,0.19666,0.28885,0,,1186,4854,3966,71,1,6,1,1,4,"{""1"": [663, 1001], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 122, 0, 0, 143, 491]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,7,128,learned,7,148,1,147,3.93,480,1039,457,1442,147,1,0.17134,1e-06,,,0.033366,147,1,1,0.16598,0,,,,,,,0,,,,0.40082,,,,2.0039,,0.028072,,0.42628,,0,,147,0,0,147,0,0,1,1,0,"{""1"": [810, 1148], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 122, 0, 0, 143, 638]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,8,139,learned,8,227,3,455,7.23,480,1171,457,1604,161,0.77238,0.62771,0.53638,-0.17026,0.42784,0.15403,112,1.1964,1,0.11605,1,1,1.6704,1e-06,,,0.65907,1,1,1,,0.40899,,0.8673,,5.8989,,0.028488,,0.39621,0.25375,,,454,1,0,111,1,0,1,1,12,"{""1"": [921, 1308], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 122, 0, 0, 143, 750]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,9,143,learned,9,231,1,234,6.28,480,1402,457,1835,230,1,0.18319,1e-06,,,0.041131,230,1,1,0.19739,0,,,,,,,0,,,,0.36929,,,,2.482,,0.024315,,0.19201,,0,,234,0,0,230,0,0,1,1,0,"{""1"": [1151, 1538], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 124, 0, 0, 143, 978]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,10,146,learned,10,150,1,302,4.8,480,1552,457,1985,149,1,0.16099,1e-06,,,0.035376,149,1,1,0.18613,0,,,,,,,0,,,,0.33738,,,,2.3745,,0.023054,,0.24029,,,,302,0,0,149,0,0,1,1,0,"{""1"": [1300, 1687], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 258, 0, 0, 143, 993]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,11,152,learned,11,145,1,144,4.05,480,1697,457,2000,144,1,0.16837,1e-06,,,0.038397,144,1,1,0.19207,0,,,,,,,0,,,,0.34276,,,,2.4659,,0.023909,,0.31076,,0,,144,0,0,144,0,0,1,1,0,"{""1"": [1444, 1831], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 258, 0, 0, 143, 1137]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,12,158,learned,12,146,1,185,16.05,480,1843,457,2000,145,1,0.11969,1e-06,,,0.020244,145,1,1,0.20879,0,,,,,,,0,,,,0.32412,,,,2.5089,,0.024256,,0.46248,,0,,185,0,0,145,0,0,1,1,0,"{""1"": [1589, 1976], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 3, 298, 0, 0, 143, 1242]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,13,178,learned,13,147,5,10001,129.08,818,1937,775,2000,879,0.090087,0.35798,0.30274,-0.18247,0.91202,0.089133,69,1.913,1,0.21925,1316,0.023367,0.36613,0.11087,-2.3024,0.72045,0.095181,11,16.455,10,0.42646,0.37943,0.25545,0.81629,2.5369,2.8225,0.44722,0.027437,0.060225,0.22386,0.31157,,,824,5049,4128,68,1,10,1,1,7,"{""1"": [1657, 2133], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 304, 0, 0, 204, 1242]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,14,192,learned,14,143,3,469,5.32,822,2094,775,2000,167,0.88963,0.37334,0.34729,-0.075008,0.56402,0.07628,140,1.1714,1,0.15348,0,,,,,,,0,,,,0.3788,,0.9452,,5.5702,,0.028503,,0.26731,,0,,469,0,0,140,0,0,1,1,12,"{""1"": [1797, 2300], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 444, 0, 0, 204, 1242]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,15,195,learned,15,232,1,297,7.07,822,2331,775,2000,236,0.98496,0.14407,0.07805,-0.84592,0.71429,0.026047,231,1.0216,1,0.18071,0,,,,,,,0,,,,0.32454,,0.85878,,10.394,,0.022467,,0.18391,,0,,297,0,0,231,0,0,1,1,0,"{""1"": [2028, 2536], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 475, 0, 0, 204, 1442]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,16,210,learned,16,149,1,360,3.27,822,2412,775,2000,105,0.73378,0.83622,0.57946,-0.4431,0.34444,0.23822,75,1.0933,1,0.18951,1,1,2.1369,1e-06,,,0.77789,1,1,1,,0.37527,,0.86602,,2.5602,,0.024191,,0.23321,0.23472,0,,358,2,0,74,1,0,1,1,0,"{""1"": [2102, 2640], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 550, 0, 0, 204, 1442]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,17,211,learned,17,234,1,233,20.92,822,2646,775,2000,233,1,0.11867,1e-06,,,0.02145,233,1,1,0.24557,0,,,,,,,0,,,,0.31263,,,,2.5341,,0.024212,,0.21035,,0,,233,0,0,233,0,0,1,1,0,"{""1"": [2335, 2873], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 550, 0, 0, 204, 1675]"
Synthie-2703e12cc033a6e1b64e835e11da25e3,0,18,212,learned,18,151,3,659,15.95,827,2734,778,2000,145,0.55907,0.74842,0.68615,-0.090743,0.71005,0.192,73,1.2603,1,0.2365,27,0.09189,0.37555,0.30689,-0.22373,0.24,0.088209,2,1.5,2,-0.11692,0.3784,0.32822,1.0544,0.82134,10.937,2.7286,0.026136,0.098738,0.29349,0.20754,,,480,170,9,72,1,1,1,1,12,"{""1"": [2407, 2993], ""2"": [10, 44], ""4"": [62, 104], ""8"": [7, 34], ""16"": [5, 34], ""32"": [1, 15]}","{""remove"": 0.5}","[0, 15, 624, 0, 0, 204, 1675]"
